# T B2 B2_min B2_max
288.15 -1.9252 0.2671 0.2671
293.15 -1.6261 0.2564 0.2564
298.15 -1.3376 0.2671 0.2671
303.15 -1.0812 0.2671 0.2671
308.15 -1.0171 0.2351 0.2351
313.15 -0.9637 0.2458 0.2458
