3/3/2026	9:47 AM
Pseudo Cross Correlation
Scattering angle:	27.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.1
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	498.9
Average Count rate  B (kHz):	455.6
Intercept:	0.7853
Cumulant 1st	639.9226
Cumulant 2nd	398.2962	348.5480
Cumulant 3rd	279.1372	318.7982

Lag time (s)         g2-1
1.25E-08	0.800752
2.5E-08	0.801771
3.75E-08	0.812314
5E-08	0.801523
6.25E-08	0.801622
7.5E-08	0.81025
8.75E-08	0.788518
1E-07	0.807416
1.125E-07	0.80115
1.25E-07	0.81122
1.375E-07	0.79742
1.5E-07	0.798066
1.625E-07	0.798439
1.75E-07	0.795754
1.875E-07	0.793715
2E-07	0.800578
2.125E-07	0.803027
2.375E-07	0.79405
2.625E-07	0.799608
2.875E-07	0.810437
3.125E-07	0.806272
3.375E-07	0.80943
3.625E-07	0.806558
3.875E-07	0.80376
4.125E-07	0.804525
4.625E-07	0.807049
5.125E-07	0.8103
5.625E-07	0.80174
6.125E-07	0.804494
6.625E-07	0.797607
7.125E-07	0.801504
7.625E-07	0.799639
8.125E-07	0.801253
9.125E-07	0.807031
1.0125E-06	0.806568
1.1125E-06	0.802916
1.2125E-06	0.804964
1.3125E-06	0.802017
1.4125E-06	0.798968
1.5125E-06	0.801592
1.6125E-06	0.802459
1.8125E-06	0.802128
2.0125E-06	0.804374
2.2125E-06	0.80496
2.4125E-06	0.803266
2.6125E-06	0.80443
2.8125E-06	0.80554
3.0125E-06	0.807624
3.2125E-06	0.80473
3.6125E-06	0.802312
4.0125E-06	0.802628
4.4125E-06	0.802277
4.8125E-06	0.802405
5.2125E-06	0.803932
5.6125E-06	0.801742
6.0125E-06	0.801578
6.4125E-06	0.801673
7.2125E-06	0.801092
8.0125E-06	0.802926
8.8125E-06	0.802386
9.6125E-06	0.799006
1.04125E-05	0.799793
1.12125E-05	0.801306
1.20125E-05	0.800941
1.28125E-05	0.801338
1.44125E-05	0.800272
1.60125E-05	0.799393
1.76125E-05	0.799402
1.92125E-05	0.799567
2.08125E-05	0.797408
2.24125E-05	0.799107
2.40125E-05	0.797533
2.56125E-05	0.79689
2.88125E-05	0.796689
3.20125E-05	0.796062
3.52125E-05	0.795197
3.84125E-05	0.794486
4.16125E-05	0.7944
4.48125E-05	0.79326
4.80125E-05	0.793101
5.12125E-05	0.791853
5.76125E-05	0.790308
6.40125E-05	0.789061
7.04125E-05	0.787376
7.68125E-05	0.78621
8.32125E-05	0.785336
8.96125E-05	0.783666
9.60125E-05	0.782535
0.000102413	0.781409
0.000115213	0.778794
0.000128013	0.776459
0.000140813	0.773947
0.000153613	0.771714
0.000166413	0.769472
0.000179213	0.766873
0.000192013	0.765022
0.000204813	0.762795
0.000230413	0.758957
0.000256013	0.755297
0.000281613	0.751357
0.000307213	0.747712
0.000332813	0.744624
0.000358413	0.74136
0.000384013	0.738495
0.000409613	0.735685
0.000460813	0.729943
0.000512013	0.724872
0.000563213	0.720298
0.000614413	0.715996
0.000665613	0.711854
0.000716813	0.707598
0.000768013	0.704024
0.000819213	0.700869
0.000921613	0.694746
0.00102401	0.688865
0.00112641	0.683238
0.00122881	0.678255
0.00133121	0.673715
0.00143361	0.669131
0.00153601	0.665121
0.00163841	0.661048
0.00184321	0.653303
0.00204801	0.646647
0.00225281	0.640157
0.00245761	0.634159
0.00266241	0.628338
0.00286721	0.622837
0.00307201	0.617196
0.00327681	0.611589
0.00368641	0.60203
0.00409601	0.593199
0.00450561	0.584453
0.00491521	0.575797
0.00532481	0.566847
0.00573441	0.558932
0.00614401	0.551171
0.00655361	0.544138
0.00737281	0.530822
0.00819201	0.51549
0.00901121	0.501739
0.00983041	0.490122
0.0106496	0.478839
0.0114688	0.468241
0.012288	0.459655
0.0131072	0.451047
0.0147456	0.436439
0.016384	0.425687
0.0180224	0.411079
0.0196608	0.396517
0.0212992	0.385291
0.0229376	0.376325
0.024576	0.369355
0.0262144	0.361599
0.0294912	0.352365
0.032768	0.350965
0.0360448	0.347439
0.0393216	0.338422
0.0425984	0.329872
0.0458752	0.320776
0.049152	0.309869
0.0524288	0.300592
0.0589824	0.283866
0.065536	0.272699
0.0720896	0.267261
0.0786432	0.26587
0.0851968	0.264791
0.0917504	0.262723
0.098304	0.25862
0.104858	0.251895
0.117965	0.234766
0.131072	0.210406
0.144179	0.205717
0.157286	0.202543
0.170394	0.200001
0.183501	0.194586
0.196608	0.208159
0.209715	0.202967
0.23593	0.167732
0.262144	0.155198
0.288358	0.166749
0.314573	0.190898
0.340787	0.172045
0.367002	0.16046
0.393216	0.174108
0.41943	0.153658
0.471859	0.159218
0.524288	0.149164
0.576717	0.136596
0.629146	0.128853
0.681574	0.118949
0.734003	0.113017
0.786432	0.123759
0.838861	0.130491
0.943718	0.115317
1.04858	0.100217
1.15343	0.0940481
1.25829	0.0538053
1.36315	0.0686269
1.46801	0.073695
1.57286	0.0240127
1.67772	0.0122481
1.88744	-0.00269119
2.09715	-0.061659
2.30687	-0.074326
2.51658	-0.129265
2.7263	-0.140485
2.93601	-0.169903
3.14573	-0.197873
3.35544	-0.247729
3.77487	-0.285897
4.1943	-0.29691
4.61373	-0.337486
5.03316	-0.339549
5.4526	-0.300908
5.87203	-0.256644
6.29146	-0.206921
6.71089	-0.176987
7.54975	-0.132569
8.38861	-0.12644
9.22747	-0.176706
10.0663	-0.218881
10.9052	-0.347043
11.7441	-0.39177
12.5829	-0.400105

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	666.007996	615.520477
0.052429	454.158783	419.540405
0.104858	690.059662	636.005402
0.157286	676.460266	610.313416
0.209715	750.942230	688.552856
0.262144	450.439453	410.900116
0.314573	1170.330048	1065.578461
0.367002	480.289459	446.414948
0.419430	531.902313	487.079620
0.471859	498.542786	455.818176
0.524288	645.790100	592.155457
0.576717	646.800995	596.275330
0.629146	532.989502	488.986969
0.681574	249.710083	226.974487
0.734003	268.383026	243.892670
0.786432	692.329407	630.569458
0.838861	778.846741	709.114075
0.891290	552.940369	501.613617
0.943718	855.846405	777.893066
0.996147	1319.503784	1202.487946
1.048576	1145.114899	1046.047211
1.101005	817.623138	749.511719
1.153434	940.628052	851.097107
1.205862	821.819305	749.492645
1.258291	1020.545959	933.589935
1.310720	805.797577	742.435455
1.363149	520.915985	477.504730
1.415578	887.432098	809.307098
1.468006	876.045227	795.059204
1.520435	1097.126007	1000.061035
1.572864	944.766998	861.968994
1.625293	1629.524231	1481.208801
1.677722	921.230316	827.674866
1.730150	1002.368927	911.693573
1.782579	1347.217560	1232.929230
1.835008	1345.252991	1232.662201
1.887437	1086.597443	998.744965
1.939866	1024.208069	929.298401
1.992294	996.303558	910.224915
2.044723	533.905029	492.858887
2.097152	1194.267273	1095.123291
2.149581	663.013458	604.820251
2.202010	488.567352	446.567535
2.254438	575.046539	517.520905
2.306867	1011.257172	926.780701
2.359296	1041.851044	946.273804
2.411725	1085.147858	991.420746
2.464154	754.623413	681.324005
2.516582	710.277557	650.863647
2.569011	382.251740	353.927612
2.621440	502.586365	460.662842
2.673869	647.811890	594.291687
2.726298	865.535736	788.822174
2.778726	453.319550	416.793823
2.831155	690.631866	629.367828
2.883584	481.891632	442.409515
2.936013	379.009247	350.437164
2.988442	850.734711	780.601501
3.040870	971.393585	882.930756
3.093299	957.393646	880.241394
3.145728	634.269714	579.776764
3.198157	949.859619	861.816406
3.250586	1114.768982	1024.093628
3.303014	1189.594269	1090.965271
3.355443	633.563995	581.207275
3.407872	870.952606	797.138214
3.460301	879.096985	799.636841
3.512730	432.643890	395.774841
3.565158	466.670990	422.878265
3.617587	248.508453	227.718353
3.670016	372.943878	340.213776
3.722445	338.172913	310.230255
3.774874	728.263855	666.141510
3.827302	1491.909027	1364.059448
3.879731	1024.417877	933.532715
3.932160	824.642181	753.040314
3.984589	642.662048	585.174561
4.037018	384.540558	344.200134
4.089446	386.676788	351.181030
4.141875	907.707214	833.358765
4.194304	1031.227112	940.456390
4.246733	1689.167023	1550.178528
4.299162	1658.344269	1502.685547
4.351590	1038.093567	948.333740
4.404019	268.726349	248.413086
4.456448	194.301605	173.702240
4.508877	81.806183	76.904297
4.561306	172.443390	158.748627
4.613734	145.702362	135.917664
4.666163	99.010468	89.626312
4.718592	141.220093	130.004883
4.771021	238.151550	213.260651
4.823450	254.154205	233.764648
4.875878	533.237457	482.616425
4.928307	589.179993	538.501740
4.980736	349.121094	315.093994
5.033165	224.380493	207.881927
5.085594	332.012177	302.352905
