3/3/2026	10:4 AM
Pseudo Cross Correlation
Scattering angle:	59.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	1.000
Temperature (K):	293.1
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	55.3
Average Count rate  B (kHz):	50.9
Intercept:	0.8802
Cumulant 1st	22.8978
Cumulant 2nd	15.2594	15.1558
Cumulant 3rd	12.7659	16.3685

Lag time (s)         g2-1
1.25E-08	0.943774
2.5E-08	0.941802
3.75E-08	0.864919
5E-08	0.833377
6.25E-08	0.851119
7.5E-08	0.92406
8.75E-08	0.937859
1E-07	0.975315
1.125E-07	0.892518
1.25E-07	0.987144
1.375E-07	0.929974
1.5E-07	0.989115
1.625E-07	0.955602
1.75E-07	0.92406
1.875E-07	0.831405
2E-07	0.803806
2.125E-07	0.813663
2.375E-07	0.899418
2.625E-07	0.897446
2.875E-07	0.867876
3.125E-07	0.867876
3.375E-07	0.863933
3.625E-07	0.851119
3.875E-07	0.827463
4.125E-07	0.823027
4.625E-07	0.871818
5.125E-07	0.858512
5.625E-07	0.89991
6.125E-07	0.882168
6.625E-07	0.850626
7.125E-07	0.850133
7.625E-07	0.850626
8.125E-07	0.882415
9.125E-07	0.859744
1.0125E-06	0.888821
1.1125E-06	0.882415
1.2125E-06	0.886357
1.3125E-06	0.869847
1.4125E-06	0.864179
1.5125E-06	0.856787
1.6125E-06	0.857403
1.8125E-06	0.844712
2.0125E-06	0.850626
2.2125E-06	0.835718
2.4125E-06	0.856787
2.6125E-06	0.867506
2.8125E-06	0.865781
3.0125E-06	0.875638
3.2125E-06	0.870278
3.6125E-06	0.850688
4.0125E-06	0.87379
4.4125E-06	0.856417
4.8125E-06	0.864056
5.2125E-06	0.827031
5.6125E-06	0.847854
6.0125E-06	0.842925
6.4125E-06	0.83196
7.2125E-06	0.837658
8.0125E-06	0.843634
8.8125E-06	0.841231
9.6125E-06	0.825091
1.04125E-05	0.824998
1.12125E-05	0.813971
1.20125E-05	0.819669
1.28125E-05	0.819931
1.44125E-05	0.810274
1.60125E-05	0.801095
1.76125E-05	0.790068
1.92125E-05	0.787326
2.08125E-05	0.793533
2.24125E-05	0.780134
2.40125E-05	0.773421
2.56125E-05	0.776902
2.88125E-05	0.763372
3.20125E-05	0.739661
3.52125E-05	0.739168
3.84125E-05	0.725715
4.16125E-05	0.711022
4.48125E-05	0.707064
4.80125E-05	0.691447
5.12125E-05	0.686765
5.76125E-05	0.66699
6.40125E-05	0.653694
7.04125E-05	0.640634
7.68125E-05	0.623325
8.32125E-05	0.612207
8.96125E-05	0.597765
9.60125E-05	0.584161
0.000102413	0.572504
0.000115213	0.552622
0.000128013	0.530523
0.000140813	0.511693
0.000153613	0.492116
0.000166413	0.48149
0.000179213	0.464895
0.000192013	0.453178
0.000204813	0.442226
0.000230413	0.424752
0.000256013	0.408603
0.000281613	0.393226
0.000307213	0.380138
0.000332813	0.366188
0.000358413	0.356884
0.000384013	0.34799
0.000409613	0.338608
0.000460813	0.320438
0.000512013	0.304733
0.000563213	0.28832
0.000614413	0.273363
0.000665613	0.260419
0.000716813	0.249643
0.000768013	0.237675
0.000819213	0.226657
0.000921613	0.212235
0.00102401	0.196787
0.00112641	0.180172
0.00122881	0.164841
0.00133121	0.151062
0.00143361	0.137045
0.00153601	0.128534
0.00163841	0.119181
0.00184321	0.10268
0.00204801	0.0892581
0.00225281	0.0741272
0.00245761	0.0667006
0.00266241	0.058633
0.00286721	0.0508856
0.00307201	0.0443654
0.00327681	0.0391149
0.00368641	0.0324254
0.00409601	0.0218672
0.00450561	0.0149892
0.00491521	0.0145453
0.00532481	0.0130746
0.00573441	0.0120731
0.00614401	0.00575152
0.00655361	0.00367309
0.00737281	0.00176031
0.00819201	-0.00301378
0.00901121	-0.00535407
0.00983041	-0.00818542
0.0106496	-0.00720389
0.0114688	-0.0029493
0.012288	0.000114415
0.0131072	0.000491604
0.0147456	-0.00383241
0.016384	-0.00114613
0.0180224	0.00324259
0.0196608	-0.000196123
0.0212992	0.000807988
0.0229376	0.0029689
0.024576	-0.00788823
0.0262144	-0.0080856
0.0294912	-0.000691728
0.032768	-0.00129366
0.0360448	0.00778177
0.0393216	0.00450179
0.0425984	0.00424898
0.0458752	0.00371132
0.049152	0.00279859
0.0524288	0.00348552
0.0589824	-0.00159962
0.065536	0.000406243
0.0720896	-0.0034646
0.0786432	0.00742368
0.0851968	-0.00266605
0.0917504	0.0038216
0.098304	0.00513139
0.104858	0.00447678
0.117965	0.0012611
0.131072	-0.00170439
0.144179	-0.000550187
0.157286	0.00158816
0.170394	-0.000778222
0.183501	-0.00666974
0.196608	0.00322768
0.209715	0.000554491
0.23593	0.00110466
0.262144	-0.00335971
0.288358	-0.00282814
0.314573	-0.00112449
0.340787	-0.0036134
0.367002	-0.000157616
0.393216	-0.00159676
0.41943	0.000731934
0.471859	-0.00042823
0.524288	0.0008408
0.576717	-0.00190295
0.629146	-0.000798563
0.681574	-0.00148712
0.734003	0.000652705
0.786432	-0.00197565
0.838861	-0.000572106
0.943718	0.00214965
1.04858	-0.00301909
1.15343	-0.00263611
1.25829	-0.00293972
1.36315	-0.0023167
1.46801	-0.00435328
1.57286	-0.00473669
1.67772	-0.00231143
1.88744	-0.00174512
2.09715	3.65721E-05
2.30687	0.00204475
2.51658	0.00625525
2.7263	0.00313539
2.93601	0.00126034
3.14573	0.00279778
3.35544	0.00361322
3.77487	0.000173817
