3/3/2026	9:47 AM
Pseudo Cross Correlation
Scattering angle:	27.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	1.000
Temperature (K):	293.1
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	1043.0
Average Count rate  B (kHz):	952.6
Intercept:	0.7259
Cumulant 1st	6562.2211
Cumulant 2nd	3740.0169	3706.3733
Cumulant 3rd	2228.8016	2916.9828

Lag time (s)         g2-1
1.25E-08	0.745868
2.5E-08	0.751938
3.75E-08	0.748766
5E-08	0.750637
6.25E-08	0.753675
7.5E-08	0.748532
8.75E-08	0.751603
1E-07	0.752072
1.125E-07	0.742216
1.25E-07	0.74985
1.375E-07	0.751419
1.5E-07	0.747365
1.625E-07	0.749961
1.75E-07	0.750883
1.875E-07	0.751765
2E-07	0.749135
2.125E-07	0.750238
2.375E-07	0.75033
2.625E-07	0.750727
2.875E-07	0.749894
3.125E-07	0.751776
3.375E-07	0.750506
3.625E-07	0.749936
3.875E-07	0.749808
4.125E-07	0.749245
4.625E-07	0.748807
5.125E-07	0.748719
5.625E-07	0.750847
6.125E-07	0.748695
6.625E-07	0.75132
7.125E-07	0.751585
7.625E-07	0.749491
8.125E-07	0.750069
9.125E-07	0.748743
1.0125E-06	0.749876
1.1125E-06	0.750016
1.2125E-06	0.750836
1.3125E-06	0.751484
1.4125E-06	0.750484
1.5125E-06	0.749109
1.6125E-06	0.749955
1.8125E-06	0.748978
2.0125E-06	0.749232
2.2125E-06	0.749934
2.4125E-06	0.750915
2.6125E-06	0.74958
2.8125E-06	0.750726
3.0125E-06	0.749779
3.2125E-06	0.75041
3.6125E-06	0.749787
4.0125E-06	0.750306
4.4125E-06	0.749833
4.8125E-06	0.74942
5.2125E-06	0.750331
5.6125E-06	0.74954
6.0125E-06	0.749707
6.4125E-06	0.749898
7.2125E-06	0.749316
8.0125E-06	0.749481
8.8125E-06	0.749543
9.6125E-06	0.74932
1.04125E-05	0.749232
1.12125E-05	0.749205
1.20125E-05	0.749163
1.28125E-05	0.748772
1.44125E-05	0.748299
1.60125E-05	0.748364
1.76125E-05	0.748323
1.92125E-05	0.748541
2.08125E-05	0.747471
2.24125E-05	0.748073
2.40125E-05	0.747198
2.56125E-05	0.747134
2.88125E-05	0.746967
3.20125E-05	0.746749
3.52125E-05	0.746304
3.84125E-05	0.74586
4.16125E-05	0.745625
4.48125E-05	0.74509
4.80125E-05	0.745068
5.12125E-05	0.744679
5.76125E-05	0.743969
6.40125E-05	0.743352
7.04125E-05	0.742802
7.68125E-05	0.742454
8.32125E-05	0.741529
8.96125E-05	0.740913
9.60125E-05	0.740572
0.000102413	0.739946
0.000115213	0.738797
0.000128013	0.737714
0.000140813	0.736819
0.000153613	0.735765
0.000166413	0.734637
0.000179213	0.733764
0.000192013	0.732631
0.000204813	0.731832
0.000230413	0.730029
0.000256013	0.728328
0.000281613	0.726708
0.000307213	0.725131
0.000332813	0.723729
0.000358413	0.722222
0.000384013	0.720833
0.000409613	0.719486
0.000460813	0.717013
0.000512013	0.714581
0.000563213	0.712387
0.000614413	0.71041
0.000665613	0.708353
0.000716813	0.706695
0.000768013	0.704914
0.000819213	0.703306
0.000921613	0.700248
0.00102401	0.697574
0.00112641	0.695258
0.00122881	0.693078
0.00133121	0.69107
0.00143361	0.689167
0.00153601	0.687403
0.00163841	0.68557
0.00184321	0.682121
0.00204801	0.679261
0.00225281	0.676287
0.00245761	0.673494
0.00266241	0.67077
0.00286721	0.668283
0.00307201	0.665994
0.00327681	0.663627
0.00368641	0.658844
0.00409601	0.654237
0.00450561	0.649506
0.00491521	0.645266
0.00532481	0.641103
0.00573441	0.63718
0.00614401	0.633337
0.00655361	0.630054
0.00737281	0.624171
0.00819201	0.618397
0.00901121	0.613149
0.00983041	0.608253
0.0106496	0.603272
0.0114688	0.598262
0.012288	0.593001
0.0131072	0.588663
0.0147456	0.580788
0.016384	0.574169
0.0180224	0.567383
0.0196608	0.560568
0.0212992	0.554564
0.0229376	0.549284
0.024576	0.544966
0.0262144	0.541595
0.0294912	0.534615
0.032768	0.528852
0.0360448	0.523305
0.0393216	0.519499
0.0425984	0.515597
0.0458752	0.510329
0.049152	0.50517
0.0524288	0.499736
0.0589824	0.489054
0.065536	0.483489
0.0720896	0.47999
0.0786432	0.473882
0.0851968	0.469017
0.0917504	0.464507
0.098304	0.458357
0.104858	0.454889
0.117965	0.450022
0.131072	0.441707
0.144179	0.435324
0.157286	0.427233
0.170394	0.41944
0.183501	0.415007
0.196608	0.414202
0.209715	0.406446
0.23593	0.403124
0.262144	0.401104
0.288358	0.395058
0.314573	0.388423
0.340787	0.372955
0.367002	0.363577
0.393216	0.356203
0.41943	0.342967
0.471859	0.325732
0.524288	0.287896
0.576717	0.288894
0.629146	0.289531
0.681574	0.26385
0.734003	0.240944
0.786432	0.220088
0.838861	0.193556
0.943718	0.141039
1.04858	0.132462
1.15343	0.117585
1.25829	0.0868049
1.36315	0.0707488
1.46801	0.0738047
1.57286	0.069217
1.67772	0.0671117
1.88744	0.0789386
2.09715	0.111366
2.30687	0.161645
2.51658	0.147017
2.7263	0.146421
2.93601	0.142899
3.14573	0.121402
3.35544	0.109112
3.77487	0.143075
4.1943	0.192906
4.61373	0.175511
5.03316	0.147627
5.4526	0.100385
5.87203	0.0744142
6.29146	0.158047
6.71089	0.328013
7.54975	0.261848
8.38861	0.275084
9.22747	0.657537
10.0663	0.814638
10.9052	0.813414
11.7441	0.370486
12.5829	0.119994

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	223.922729	198.879242
0.052429	459.136963	426.349640
0.104858	1174.316406	1067.199707
0.157286	1531.429291	1395.626068
0.209715	806.522369	740.947723
0.262144	566.730499	521.812439
0.314573	358.181000	326.137543
0.367002	609.550476	555.000305
0.419430	1020.908356	933.609009
0.471859	1304.626465	1191.272736
0.524288	793.914795	728.988647
0.576717	322.990417	293.464661
0.629146	470.008850	424.194336
0.681574	1382.102966	1257.495880
0.734003	1059.703827	972.194672
0.786432	1472.549438	1344.528198
0.838861	788.097382	714.626312
0.891290	1197.261810	1085.910797
0.943718	1138.668060	1037.597656
0.996147	1556.320190	1431.865692
1.048576	1182.937622	1084.175110
1.101005	586.719513	533.046722
1.153434	559.558868	505.046844
1.205862	631.809235	583.820343
1.258291	1196.231842	1090.679169
1.310720	786.972046	715.656281
1.363149	859.088898	782.241821
1.415578	715.236664	651.435852
1.468006	1258.831024	1149.501801
1.520435	1221.065521	1117.706299
1.572864	1027.202606	933.380127
1.625293	1187.419891	1093.807220
1.677722	1240.158081	1122.722626
1.730150	1196.632385	1100.692749
1.782579	517.768860	473.728180
1.835008	447.578430	403.518677
1.887437	627.956390	574.874878
1.939866	592.250824	539.665222
1.992294	662.441254	601.959229
2.044723	438.804626	399.208069
2.097152	735.301971	675.220490
2.149581	620.384216	568.599701
2.202010	759.277344	701.065063
2.254438	359.725952	327.491760
2.306867	969.810486	886.802673
2.359296	1016.216278	921.287537
2.411725	481.414795	439.014435
2.464154	446.586609	410.194397
2.516582	615.539551	557.422638
2.569011	854.358673	770.206451
2.621440	608.558655	554.351807
2.673869	584.163666	538.406372
2.726298	1094.398499	1002.788544
2.778726	812.129974	746.307373
2.831155	472.202301	436.306000
2.883584	499.286652	460.777283
2.936013	677.261353	623.855591
2.988442	465.869904	426.769257
3.040870	355.167389	317.401886
3.093299	353.012085	318.450928
3.145728	567.150116	520.324707
3.198157	935.897827	845.680237
3.250586	603.427887	547.618866
3.303014	372.219086	334.949493
3.355443	282.707214	262.928009
3.407872	236.625671	211.448669
3.460301	403.404236	366.973877
3.512730	367.774963	334.587097
3.565158	87.032318	85.849762
3.617587	340.290070	316.524506
3.670016	390.167236	356.292725
3.722445	254.936218	230.903625
3.774874	385.761261	353.183746
3.827302	733.757019	669.612885
3.879731	179.195404	162.811279
3.932160	114.574432	103.187561
3.984589	205.860138	187.854767
4.037018	112.552643	107.536316
4.089446	118.370056	109.939575
4.141875	367.774963	335.769653
4.194304	1063.022614	977.916718
4.246733	1034.450531	941.925049
4.299162	1253.795624	1137.237549
4.351590	863.857269	792.369843
4.404019	1391.525269	1266.403198
4.456448	1832.637787	1681.308746
4.508877	2044.601440	1862.545013
4.561306	2410.507202	2192.592621
4.613734	993.690491	905.570984
4.666163	221.767426	204.257965
4.718592	112.247467	106.143951
4.771021	177.974701	161.285400
4.823450	256.366730	236.454010
4.875878	443.000793	402.030945
4.928307	275.402069	257.434845
4.980736	573.444366	529.670715
5.033165	569.038391	525.550842
5.085594	482.997894	445.594788
