3/3/2026	10:15 AM
Pseudo Cross Correlation
Scattering angle:	85.00
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	44.4
Average Count rate  B (kHz):	40.9
Intercept:	0.8722
Cumulant 1st	19.3217
Cumulant 2nd	13.1053	12.9140
Cumulant 3rd	11.1246	14.1826

Lag time (s)         g2-1
1.25E-08	0.899771
2.5E-08	0.758491
3.75E-08	0.998968
5E-08	0.845664
6.25E-08	0.953878
7.5E-08	0.947867
8.75E-08	0.98995
1E-07	0.752479
1.125E-07	0.800574
1.25E-07	0.842658
1.375E-07	0.881735
1.5E-07	0.917807
1.625E-07	0.785544
1.75E-07	0.875723
1.875E-07	0.845664
2E-07	0.911795
2.125E-07	0.907286
2.375E-07	0.964399
2.625E-07	0.883238
2.875E-07	0.890753
3.125E-07	0.935843
3.375E-07	0.778029
3.625E-07	0.971914
3.875E-07	0.922316
4.125E-07	0.871214
4.625E-07	0.834391
5.125E-07	0.805835
5.625E-07	0.878729
6.125E-07	0.914801
6.625E-07	0.851676
7.125E-07	0.841906
7.625E-07	0.804332
8.125E-07	0.895262
9.125E-07	0.830258
1.0125E-06	0.835519
1.1125E-06	0.81598
1.2125E-06	0.857688
1.3125E-06	0.85393
1.4125E-06	0.83627
1.5125E-06	0.857312
1.6125E-06	0.865578
1.8125E-06	0.847542
2.0125E-06	0.839652
2.2125E-06	0.826876
2.4125E-06	0.804519
2.6125E-06	0.844349
2.8125E-06	0.828567
3.0125E-06	0.861821
3.2125E-06	0.858721
3.6125E-06	0.809028
4.0125E-06	0.852803
4.4125E-06	0.83054
4.8125E-06	0.826501
5.2125E-06	0.797005
5.6125E-06	0.812692
6.0125E-06	0.825185
6.4125E-06	0.808934
7.2125E-06	0.795551
8.0125E-06	0.804052
8.8125E-06	0.784044
9.6125E-06	0.778549
1.04125E-05	0.775167
1.12125E-05	0.755957
1.20125E-05	0.758963
1.28125E-05	0.747717
1.44125E-05	0.736397
1.60125E-05	0.744758
1.76125E-05	0.730221
1.92125E-05	0.713547
2.08125E-05	0.694642
2.24125E-05	0.692059
2.40125E-05	0.676609
2.56125E-05	0.674883
2.88125E-05	0.662624
3.20125E-05	0.628293
3.52125E-05	0.63043
3.84125E-05	0.608942
4.16125E-05	0.598519
4.48125E-05	0.580307
4.80125E-05	0.574319
5.12125E-05	0.557288
5.76125E-05	0.530786
6.40125E-05	0.519037
7.04125E-05	0.500355
7.68125E-05	0.475332
8.32125E-05	0.460944
8.96125E-05	0.451221
9.60125E-05	0.443289
0.000102413	0.431057
0.000115213	0.40586
0.000128013	0.391091
0.000140813	0.373636
0.000153613	0.358866
0.000166413	0.342588
0.000179213	0.332826
0.000192013	0.322965
0.000204813	0.314225
0.000230413	0.29442
0.000256013	0.279324
0.000281613	0.265223
0.000307213	0.252305
0.000332813	0.244278
0.000358413	0.234327
0.000384013	0.222451
0.000409613	0.214554
0.000460813	0.193791
0.000512013	0.17849
0.000563213	0.164845
0.000614413	0.149925
0.000665613	0.139671
0.000716813	0.128491
0.000768013	0.121005
0.000819213	0.109925
0.000921613	0.0955599
0.00102401	0.0850421
0.00112641	0.0759874
0.00122881	0.062489
0.00133121	0.052289
0.00143361	0.0498179
0.00153601	0.0412542
0.00163841	0.0352145
0.00184321	0.028732
0.00204801	0.0228457
0.00225281	0.0192304
0.00245761	0.0134961
0.00266241	0.0118137
0.00286721	0.0121494
0.00307201	0.0106347
0.00327681	0.00682461
0.00368641	0.0048834
0.00409601	0.00402942
0.00450561	-0.00094379
0.00491521	0.00112122
0.00532481	-0.00119045
0.00573441	0.00181479
0.00614401	0.00059194
0.00655361	8.3754E-05
0.00737281	0.00442398
0.00819201	0.0035136
0.00901121	0.000582527
0.00983041	-0.00238859
0.0106496	0.00038241
0.0114688	-0.000814387
0.012288	0.000565711
0.0131072	-7.55131E-05
0.0147456	0.000637817
0.016384	-0.000967409
0.0180224	0.00304433
0.0196608	0.00421724
0.0212992	0.00282668
0.0229376	0.00188425
0.024576	0.00161555
0.0262144	6.46482E-05
0.0294912	-0.00289261
0.032768	0.000242455
0.0360448	0.000267973
0.0393216	-0.0016128
0.0425984	-0.00204215
0.0458752	0.00295166
0.049152	0.00199363
0.0524288	0.00110747
0.0589824	-0.00238118
0.065536	-0.000282024
0.0720896	0.00317922
0.0786432	-0.00143791
0.0851968	-0.00047315
0.0917504	-0.000358029
0.098304	-0.000943352
0.104858	0.00024922
0.117965	-7.78159E-05
0.131072	-0.000159598
0.144179	-0.00120128
0.157286	-0.00109136
0.170394	0.000884389
0.183501	-5.06026E-05
0.196608	-0.000116616
0.209715	-0.000320651
0.23593	0.00151806
0.262144	1.92821E-05
0.288358	0.000462289
0.314573	-0.00192689
0.340787	-0.000723458
0.367002	-0.000805391
0.393216	-0.00176189
0.41943	-0.00196214
0.471859	-0.00144557
0.524288	-0.00126482
0.576717	-0.0018263
0.629146	-0.00197645
0.681574	-0.00113343
0.734003	-0.00184263
0.786432	-0.00109362
0.838861	-0.00255354
0.943718	-0.00232159
1.04858	-0.00378926
1.15343	-0.00319575
1.25829	-0.00324879
1.36315	-0.00441413
1.46801	-0.00447955
1.57286	-0.00509065
1.67772	-0.00428941
1.88744	-0.00542883
2.09715	-0.00455722
2.30687	-0.00281596
2.51658	-0.00470435
2.7263	-0.0059761
2.93601	-0.00444642
3.14573	-0.00592969
3.35544	-0.00652185
3.77487	-0.00708874
4.1943	-0.00836188
4.61373	-0.0089373
5.03316	-0.00851304
5.4526	-0.0115114
5.87203	-0.010357
6.29146	-0.0127445
6.71089	-0.0117602
7.54975	-0.00956747
8.38861	-0.0155613
9.22747	-0.0157713
10.0663	-0.0198413
10.9052	-0.0267129
11.7441	-0.0313018
12.5829	-0.0457012

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	48.694611	44.612885
0.052429	40.931702	36.449432
0.104858	48.465729	43.506622
0.157286	41.389465	38.604736
0.209715	42.533875	38.700104
0.262144	57.067871	54.588318
0.314573	44.364929	42.171478
0.367002	45.681000	42.705536
0.419430	39.958954	38.356781
0.471859	55.637360	50.525665
0.524288	40.321350	36.354065
0.576717	41.503906	38.509369
0.629146	48.084259	44.898987
0.681574	46.501160	42.018890
0.734003	43.106079	38.738251
0.786432	55.541992	49.190521
0.838861	47.721863	42.953491
0.891290	43.849945	39.730072
0.943718	48.332214	44.784546
0.996147	57.373047	53.310394
1.048576	46.825409	43.010712
1.101005	37.193298	34.141541
1.153434	45.585632	41.561127
1.205862	42.419434	40.798187
1.258291	50.411224	46.844482
1.310720	46.310425	43.220520
1.363149	46.443939	41.809082
1.415578	40.855408	39.272308
1.468006	46.749115	44.460297
1.520435	45.013428	40.073395
1.572864	38.604736	36.468506
1.625293	41.408539	40.721893
1.677722	47.645569	43.430328
1.730150	49.324036	44.746399
1.782579	43.087006	39.672852
1.835008	40.874481	37.212372
1.887437	42.247772	38.795471
1.939866	42.438507	40.931702
1.992294	45.604706	41.770935
2.044723	41.961670	40.111542
2.097152	42.419434	39.844513
2.149581	42.057037	37.002563
2.202010	36.144257	32.329559
2.254438	48.141479	45.051575
2.306867	52.661896	48.046112
2.359296	44.994354	42.076111
2.411725	40.626526	37.345886
2.464154	49.381256	47.836304
2.516582	45.032501	41.084290
2.569011	46.348572	42.762756
2.621440	40.817261	39.768219
2.673869	52.013397	47.492981
2.726298	36.144257	33.359528
2.778726	49.152374	44.727325
2.831155	42.953491	40.187836
2.883584	39.405823	36.487579
2.936013	41.332245	38.070679
2.988442	45.166016	42.495728
3.040870	49.362183	45.356750
3.093299	46.577454	44.059753
3.145728	47.492981	43.201447
3.198157	42.934418	40.111542
3.250586	49.343109	47.111511
3.303014	43.506622	39.081573
3.355443	39.196014	34.790039
3.407872	47.149658	43.315887
3.460301	43.163300	40.912628
3.512730	53.253174	51.002502
3.565158	48.065186	44.384003
3.617587	41.370392	36.373138
3.670016	46.653748	43.163300
3.722445	38.871765	37.422180
3.774874	41.522980	38.089752
3.827302	49.571991	45.013428
3.879731	42.819977	40.645599
3.932160	45.986176	44.078827
3.984589	40.969849	38.986206
4.037018	41.484833	36.792755
