3/3/2026	11:20 AM
Pseudo Cross Correlation
Scattering angle:	51.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	49.0
Average Count rate  B (kHz):	45.2
Intercept:	0.8493
Cumulant 1st	30.2366
Cumulant 2nd	19.6244	19.3044
Cumulant 3rd	15.9157	20.3424

Lag time (s)         g2-1
1.25E-08	0.91778
2.5E-08	0.820138
3.75E-08	0.89024
5E-08	0.882729
6.25E-08	0.815131
7.5E-08	0.91778
8.75E-08	0.847678
1E-07	0.892744
1.125E-07	0.760051
1.25E-07	0.837664
1.375E-07	0.760051
1.5E-07	0.805117
1.625E-07	0.932802
1.75E-07	0.922787
1.875E-07	0.822642
2E-07	1.05798
2.125E-07	0.886485
2.375E-07	0.867707
2.625E-07	0.816383
2.875E-07	0.832657
3.125E-07	0.846427
3.375E-07	0.852686
3.625E-07	0.897751
3.875E-07	0.840167
4.125E-07	0.843923
4.625E-07	0.792598
5.125E-07	0.855189
5.625E-07	0.848304
6.125E-07	0.808872
6.625E-07	0.829527
7.125E-07	0.841419
7.625E-07	0.815757
8.125E-07	0.815131
9.125E-07	0.815444
1.0125E-06	0.8023
1.1125E-06	0.817948
1.2125E-06	0.869898
1.3125E-06	0.853937
1.4125E-06	0.832031
1.5125E-06	0.853624
1.6125E-06	0.856441
1.8125E-06	0.854094
2.0125E-06	0.835473
2.2125E-06	0.84361
2.4125E-06	0.872558
2.6125E-06	0.811689
2.8125E-06	0.85691
3.0125E-06	0.843766
3.2125E-06	0.841497
3.6125E-06	0.842671
4.0125E-06	0.805038
4.4125E-06	0.844079
4.8125E-06	0.820608
5.2125E-06	0.815913
5.6125E-06	0.840872
6.0125E-06	0.828901
6.4125E-06	0.838172
7.2125E-06	0.82671
8.0125E-06	0.824402
8.8125E-06	0.829683
9.6125E-06	0.80453
1.04125E-05	0.825028
1.12125E-05	0.818847
1.20125E-05	0.814231
1.28125E-05	0.810221
1.44125E-05	0.812451
1.60125E-05	0.814642
1.76125E-05	0.793442
1.92125E-05	0.785735
2.08125E-05	0.799486
2.24125E-05	0.776545
2.40125E-05	0.789396
2.56125E-05	0.779635
2.88125E-05	0.77185
3.20125E-05	0.766706
3.52125E-05	0.752547
3.84125E-05	0.746083
4.16125E-05	0.737203
4.48125E-05	0.725526
4.80125E-05	0.730897
5.12125E-05	0.725621
5.76125E-05	0.703821
6.40125E-05	0.690885
7.04125E-05	0.67446
7.68125E-05	0.665545
8.32125E-05	0.65647
8.96125E-05	0.649599
9.60125E-05	0.635744
0.000102413	0.626535
0.000115213	0.608912
0.000128013	0.590819
0.000140813	0.577225
0.000153613	0.563019
0.000166413	0.55093
0.000179213	0.535372
0.000192013	0.524135
0.000204813	0.513759
0.000230413	0.492938
0.000256013	0.47658
0.000281613	0.459967
0.000307213	0.44637
0.000332813	0.435049
0.000358413	0.421164
0.000384013	0.414783
0.000409613	0.405179
0.000460813	0.386884
0.000512013	0.371363
0.000563213	0.355438
0.000614413	0.343911
0.000665613	0.3334
0.000716813	0.327654
0.000768013	0.318232
0.000819213	0.309134
0.000921613	0.291174
0.00102401	0.275692
0.00112641	0.260722
0.00122881	0.247843
0.00133121	0.235925
0.00143361	0.225377
0.00153601	0.215521
0.00163841	0.205825
0.00184321	0.186631
0.00204801	0.173257
0.00225281	0.156375
0.00245761	0.14444
0.00266241	0.131465
0.00286721	0.118636
0.00307201	0.107781
0.00327681	0.100131
0.00368641	0.083287
0.00409601	0.0704962
0.00450561	0.062153
0.00491521	0.0528931
0.00532481	0.0474305
0.00573441	0.0417528
0.00614401	0.0326307
0.00655361	0.0262638
0.00737281	0.0162905
0.00819201	0.0118385
0.00901121	0.00843701
0.00983041	0.00447603
0.0106496	0.000664738
0.0114688	-0.0018469
0.012288	-0.00252297
0.0131072	-0.00439716
0.0147456	-0.00112537
0.016384	-0.00284221
0.0180224	-0.000617106
0.0196608	0.00520286
0.0212992	0.00785343
0.0229376	0.000662516
0.024576	-0.00376696
0.0262144	-0.00398335
0.0294912	-0.00319397
0.032768	0.00100826
0.0360448	-0.00456155
0.0393216	-0.0157575
0.0425984	-0.00790499
0.0458752	-0.00147736
0.049152	-0.00167789
0.0524288	-0.001889
0.0589824	0.000470464
0.065536	0.00334548
0.0720896	0.00479021
0.0786432	0.00284797
0.0851968	-0.00210418
0.0917504	0.00624726
0.098304	0.00430086
0.104858	0.00409569
0.117965	-0.000184926
0.131072	0.00333196
0.144179	0.00718677
0.157286	-0.00333883
0.170394	-0.00468744
0.183501	-0.00145072
0.196608	0.00429237
0.209715	0.00404558
0.23593	-0.00386742
0.262144	0.00443309
0.288358	0.00687636
0.314573	0.000527874
0.340787	0.00192071
0.367002	0.00408322
0.393216	-0.00089202
0.41943	0.00261943
0.471859	0.00579851
0.524288	0.00555463
0.576717	0.00413912
0.629146	0.00814348
0.681574	0.00575193
0.734003	0.00215382
0.786432	0.00492567
0.838861	0.00514746
0.943718	-0.000438019
1.04858	0.000109593
1.15343	0.00128434
1.25829	0.000171312
1.36315	0.00207878
1.46801	0.00350893
1.57286	0.0033766
1.67772	0.00445993
1.88744	0.00425588
2.09715	0.00580008
2.30687	0.00441417
2.51658	0.00556178
2.7263	0.00409392
2.93601	0.00281493
3.14573	0.00353425
3.35544	0.00502479
3.77487	0.00790559
4.1943	0.00768813
4.61373	0.00839556
5.03316	0.00758903
5.4526	0.0117989
5.87203	0.0149233
6.29146	0.0179534
6.71089	0.0174562
7.54975	0.0101142
8.38861	0.0141181
9.22747	0.0148787
10.0663	0.0218666
