3/3/2026	11:20 AM
Pseudo Cross Correlation
Scattering angle:	51.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	53.1
Average Count rate  B (kHz):	48.8
Intercept:	0.8521
Cumulant 1st	33.3611
Cumulant 2nd	21.5206	21.2491
Cumulant 3rd	17.1237	22.0873

Lag time (s)         g2-1
1.25E-08	0.885851
2.5E-08	0.924425
3.75E-08	0.91371
5E-08	0.868706
6.25E-08	0.900852
7.5E-08	0.937283
8.75E-08	0.857991
1E-07	0.737983
1.125E-07	0.902995
1.25E-07	0.789415
1.375E-07	0.969428
1.5E-07	0.759413
1.625E-07	0.797987
1.75E-07	0.836561
1.875E-07	0.767985
2E-07	0.770128
2.125E-07	0.876207
2.375E-07	0.890137
2.625E-07	0.847276
2.875E-07	0.857991
3.125E-07	0.93514
3.375E-07	0.836561
3.625E-07	0.819417
3.875E-07	0.936211
4.125E-07	0.887458
4.625E-07	0.93514
5.125E-07	0.826382
5.625E-07	0.799059
6.125E-07	0.844062
6.625E-07	0.826918
7.125E-07	0.831204
7.625E-07	0.867635
8.125E-07	0.860134
9.125E-07	0.854241
1.0125E-06	0.862813
1.1125E-06	0.868439
1.2125E-06	0.831472
1.3125E-06	0.843794
1.4125E-06	0.804416
1.5125E-06	0.797451
1.6125E-06	0.836427
1.8125E-06	0.848214
2.0125E-06	0.874332
2.2125E-06	0.824239
2.4125E-06	0.843526
2.6125E-06	0.835222
2.8125E-06	0.854241
3.0125E-06	0.863483
3.2125E-06	0.841919
3.6125E-06	0.845937
4.0125E-06	0.833079
4.4125E-06	0.843794
4.8125E-06	0.866362
5.2125E-06	0.825846
5.6125E-06	0.833012
6.0125E-06	0.818078
6.4125E-06	0.822129
7.2125E-06	0.839709
8.0125E-06	0.826214
8.8125E-06	0.83338
9.6125E-06	0.828157
1.04125E-05	0.823234
1.12125E-05	0.82444
1.20125E-05	0.816537
1.28125E-05	0.828642
1.44125E-05	0.818747
1.60125E-05	0.801787
1.76125E-05	0.792763
1.92125E-05	0.80008
2.08125E-05	0.801988
2.24125E-05	0.794153
2.40125E-05	0.781245
2.56125E-05	0.77669
2.88125E-05	0.771484
3.20125E-05	0.770362
3.52125E-05	0.7549
3.84125E-05	0.761463
4.16125E-05	0.740594
4.48125E-05	0.735396
4.80125E-05	0.735262
5.12125E-05	0.729205
5.76125E-05	0.716565
6.40125E-05	0.701245
7.04125E-05	0.692146
7.68125E-05	0.680322
8.32125E-05	0.670454
8.96125E-05	0.655303
9.60125E-05	0.645299
0.000102413	0.635967
0.000115213	0.623293
0.000128013	0.608164
0.000140813	0.594789
0.000153613	0.577105
0.000166413	0.563152
0.000179213	0.55156
0.000192013	0.541879
0.000204813	0.531708
0.000230413	0.510225
0.000256013	0.495192
0.000281613	0.479613
0.000307213	0.462153
0.000332813	0.451636
0.000358413	0.442217
0.000384013	0.429218
0.000409613	0.420705
0.000460813	0.402806
0.000512013	0.386538
0.000563213	0.375018
0.000614413	0.364841
0.000665613	0.354345
0.000716813	0.344952
0.000768013	0.335525
0.000819213	0.326532
0.000921613	0.308004
0.00102401	0.29459
0.00112641	0.280252
0.00122881	0.265302
0.00133121	0.254295
0.00143361	0.239925
0.00153601	0.230913
0.00163841	0.22077
0.00184321	0.202185
0.00204801	0.184514
0.00225281	0.169965
0.00245761	0.154827
0.00266241	0.145192
0.00286721	0.135254
0.00307201	0.124812
0.00327681	0.11655
0.00368641	0.100406
0.00409601	0.0873209
0.00450561	0.0779144
0.00491521	0.0652666
0.00532481	0.0567867
0.00573441	0.0527554
0.00614401	0.0460955
0.00655361	0.0403568
0.00737281	0.0321445
0.00819201	0.0254598
0.00901121	0.0188546
0.00983041	0.016153
0.0106496	0.0148011
0.0114688	0.0127209
0.012288	0.00803652
0.0131072	0.00278795
0.0147456	-0.00267513
0.016384	-0.00544424
0.0180224	-0.00663457
0.0196608	-0.00459827
0.0212992	-0.00696625
0.0229376	-0.00692565
0.024576	-0.00299085
0.0262144	-0.0010136
0.0294912	-0.011482
0.032768	-0.0094689
0.0360448	-0.0079439
0.0393216	-0.013203
0.0425984	-0.0122723
0.0458752	-0.0106068
0.049152	-0.00268487
0.0524288	0.00274463
0.0589824	0.0037252
0.065536	-0.00286267
0.0720896	0.00117366
0.0786432	0.00225375
0.0851968	0.00294289
0.0917504	-0.00204909
0.098304	-0.000828996
0.104858	0.000567138
0.117965	0.000361032
0.131072	0.00381604
0.144179	-0.0042497
0.157286	0.00189332
0.170394	-0.0016625
0.183501	-0.00729066
0.196608	0.00171556
0.209715	-0.00381674
0.23593	-0.00501701
0.262144	0.00502295
0.288358	-0.00148172
0.314573	-0.00934836
0.340787	-0.000548617
0.367002	-0.00374261
0.393216	-0.00205052
0.41943	-0.00207403
0.471859	3.14306E-05
0.524288	0.000761901
0.576717	0.00145869
0.629146	-0.00407698
0.681574	-0.00381087
0.734003	-0.0071084
0.786432	-0.00215615
0.838861	-0.00354519
0.943718	-0.00519215
1.04858	-0.00274267
1.15343	0.00114532
1.25829	-0.00109585
1.36315	-0.00228575
1.46801	0.00148205
1.57286	-0.00416963
1.67772	-0.00343889
1.88744	-0.00393554
2.09715	-0.00655059
2.30687	-0.00652945
2.51658	-0.00765424
2.7263	-0.00596911
2.93601	-0.00328844
3.14573	0.00197879
3.35544	0.000839828
3.77487	-0.00434864
4.1943	-0.000956719
4.61373	0.00278448
5.03316	-0.0010149
5.4526	-0.00157804
5.87203	0.000982472
6.29146	0.00628712
6.71089	-0.000231179
7.54975	0.00828178
