3/3/2026	11:22 AM
Pseudo Cross Correlation
Scattering angle:	55.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	54.6
Average Count rate  B (kHz):	50.1
Intercept:	0.8693
Cumulant 1st	41.2148
Cumulant 2nd	26.7050	25.4289
Cumulant 3rd	20.3562	25.8509

Lag time (s)         g2-1
1.25E-08	0.867009
2.5E-08	0.84016
3.75E-08	0.900053
5E-08	0.809181
6.25E-08	0.854617
7.5E-08	1.01364
8.75E-08	0.778202
1E-07	1.00745
1.125E-07	0.825704
1.25E-07	0.98473
1.375E-07	0.821573
1.5E-07	0.850487
1.625E-07	0.867009
1.75E-07	0.862879
1.875E-07	0.829834
2E-07	0.889727
2.125E-07	0.867009
2.375E-07	0.843258
2.625E-07	0.834997
2.875E-07	0.896956
3.125E-07	0.85565
3.375E-07	0.869074
3.625E-07	0.872172
3.875E-07	0.892825
4.125E-07	0.87527
4.625E-07	0.849971
5.125E-07	0.907798
5.625E-07	0.876819
6.125E-07	0.870623
6.625E-07	0.858748
7.125E-07	0.866493
7.625E-07	0.838612
8.125E-07	0.901602
9.125E-07	0.875528
1.0125E-06	0.852294
1.1125E-06	0.838353
1.2125E-06	0.869074
1.3125E-06	0.873463
1.4125E-06	0.882757
1.5125E-06	0.881724
1.6125E-06	0.872947
1.8125E-06	0.873334
2.0125E-06	0.856037
2.2125E-06	0.867396
2.4125E-06	0.843129
2.6125E-06	0.873721
2.8125E-06	0.875916
3.0125E-06	0.89631
3.2125E-06	0.892889
3.6125E-06	0.873143
4.0125E-06	0.882759
4.4125E-06	0.851845
4.8125E-06	0.849392
5.2125E-06	0.86088
5.6125E-06	0.844939
6.0125E-06	0.841647
6.4125E-06	0.856395
7.2125E-06	0.852135
8.0125E-06	0.84026
8.8125E-06	0.841163
9.6125E-06	0.835161
1.04125E-05	0.853684
1.12125E-05	0.837452
1.20125E-05	0.837258
1.28125E-05	0.835645
1.44125E-05	0.830869
1.60125E-05	0.822801
1.76125E-05	0.815218
1.92125E-05	0.817477
2.08125E-05	0.813282
2.24125E-05	0.799035
2.40125E-05	0.805263
2.56125E-05	0.798978
2.88125E-05	0.791419
3.20125E-05	0.784158
3.52125E-05	0.769677
3.84125E-05	0.762827
4.16125E-05	0.760238
4.48125E-05	0.746854
4.80125E-05	0.745321
5.12125E-05	0.7366
5.76125E-05	0.723212
6.40125E-05	0.718012
7.04125E-05	0.705193
7.68125E-05	0.691527
8.32125E-05	0.686608
8.96125E-05	0.667332
9.60125E-05	0.661932
0.000102413	0.650893
0.000115213	0.628648
0.000128013	0.619814
0.000140813	0.603211
0.000153613	0.589115
0.000166413	0.575947
0.000179213	0.56629
0.000192013	0.551924
0.000204813	0.542237
0.000230413	0.524662
0.000256013	0.51095
0.000281613	0.497659
0.000307213	0.481928
0.000332813	0.47183
0.000358413	0.459099
0.000384013	0.448504
0.000409613	0.439182
0.000460813	0.422947
0.000512013	0.406831
0.000563213	0.394291
0.000614413	0.379709
0.000665613	0.368349
0.000716813	0.356456
0.000768013	0.345269
0.000819213	0.338172
0.000921613	0.320323
0.00102401	0.303399
0.00112641	0.288198
0.00122881	0.27579
0.00133121	0.261627
0.00143361	0.250671
0.00153601	0.237618
0.00163841	0.229442
0.00184321	0.209224
0.00204801	0.189858
0.00225281	0.171547
0.00245761	0.155092
0.00266241	0.141944
0.00286721	0.130739
0.00307201	0.120786
0.00327681	0.111314
0.00368641	0.0961424
0.00409601	0.0802242
0.00450561	0.0687202
0.00491521	0.0598695
0.00532481	0.051521
0.00573441	0.0453131
0.00614401	0.0359946
0.00655361	0.0292693
0.00737281	0.0183901
0.00819201	0.0130442
0.00901121	0.0131566
0.00983041	0.0141737
0.0106496	0.0129337
0.0114688	0.00915851
0.012288	0.0085335
0.0131072	0.00430727
0.0147456	0.00310525
0.016384	0.00241659
0.0180224	-0.00132688
0.0196608	-0.00572338
0.0212992	-0.000275893
0.0229376	0.00583384
0.024576	0.00263484
0.0262144	0.000851191
0.0294912	-0.00554476
0.032768	-0.00243861
0.0360448	-0.00437905
0.0393216	8.10499E-05
0.0425984	0.00144207
0.0458752	-0.000846873
0.049152	-0.00252557
0.0524288	-0.000535654
0.0589824	0.00913994
0.065536	-0.00683647
0.0720896	-0.0059966
0.0786432	-0.00202596
0.0851968	0.000997413
0.0917504	-0.000325255
0.098304	0.00384996
0.104858	0.00252976
0.117965	0.00390846
0.131072	0.00587142
0.144179	0.00440354
0.157286	0.00266995
0.170394	-0.00110388
0.183501	-0.00112392
0.196608	-0.00420324
0.209715	-0.00630836
0.23593	0.00108379
0.262144	-0.00212965
0.288358	0.00184899
0.314573	0.00233534
0.340787	0.000563147
0.367002	0.00442196
0.393216	0.00110672
0.41943	0.000678505
0.471859	0.00216277
0.524288	0.000116571
0.576717	0.000465483
0.629146	0.00429896
0.681574	0.000480398
0.734003	0.00766857
0.786432	-0.00529025
0.838861	-0.0041569
0.943718	-0.000125762
1.04858	0.000564041
1.15343	-8.91287E-05
1.25829	0.000982209
1.36315	-0.000989998
1.46801	-0.00314074
1.57286	0.00244449
1.67772	0.00206778
1.88744	0.00454486
2.09715	0.00178484
2.30687	0.00255821
2.51658	0.00364173
2.7263	0.00462836
2.93601	0.00476535
3.14573	0.00587128
3.35544	0.00808683
3.77487	0.00999708
4.1943	0.00972752
4.61373	0.00736036
5.03316	0.00649469
5.4526	0.00878755
5.87203	0.00183104
6.29146	0.00362127
6.71089	-0.00533615
7.54975	0.000808879
8.38861	-0.00128863
9.22747	-0.00671263
10.0663	-0.0141409
10.9052	0.0121227
11.7441	0.0468304
12.5829	0.01343

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	36.563873	33.779144
0.052429	54.874420	50.449371
0.104858	48.503876	44.250488
0.157286	45.452118	40.874481
0.209715	56.381226	49.018860
0.262144	67.348480	60.234070
0.314573	52.661896	47.645569
0.367002	63.037872	58.078766
0.419430	72.479248	66.547394
0.471859	56.514740	52.051544
0.524288	45.757294	42.037964
0.576717	53.367615	46.672821
0.629146	34.332275	29.487610
0.681574	59.661865	56.877136
0.734003	60.157776	53.653717
0.786432	69.503784	61.168671
0.838861	73.413849	67.119598
0.891290	51.155090	47.512054
0.943718	64.601898	59.986115
0.996147	52.967072	48.351288
1.048576	52.661896	47.397614
1.101005	37.784576	34.828186
1.153434	52.814484	47.035217
1.205862	52.890778	46.119690
1.258291	42.610168	40.950775
1.310720	52.299500	49.438477
1.363149	50.907135	46.443939
1.415578	71.678162	65.288544
