3/3/2026	1:5 PM
Pseudo Cross Correlation
Scattering angle:	74.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	8.2
Average Count rate  B (kHz):	7.8
Intercept:	0.0000
Cumulant 1st	-Inf
Cumulant 2nd	-Inf	NaN
Cumulant 3rd	-Inf	NaN

Lag time (s)         g2-1
1.25E-08	1.55251
2.5E-08	0.848366
3.75E-08	1.55251
5E-08	1.46449
6.25E-08	-0.0318081
7.5E-08	0.848366
8.75E-08	0.496297
1E-07	1.28845
1.125E-07	1.0244
1.25E-07	0.320262
1.375E-07	0.848366
1.5E-07	0.584314
1.625E-07	0.672331
1.75E-07	1.0244
1.875E-07	0.144227
2E-07	0.672331
2.125E-07	0.276253
2.375E-07	0.452288
2.625E-07	0.584314
2.875E-07	0.540305
3.125E-07	0.936384
3.375E-07	0.408279
3.625E-07	0.892375
3.875E-07	0.0122006
4.125E-07	0.232244
4.625E-07	0.892375
5.125E-07	0.386275
5.625E-07	0.518301
6.125E-07	0.738345
6.625E-07	0.672331
7.125E-07	0.738345
7.625E-07	0.826362
8.125E-07	0.903377
9.125E-07	0.452288
1.0125E-06	0.837364
1.1125E-06	0.628323
1.2125E-06	0.936384
1.3125E-06	0.650327
1.4125E-06	0.870371
1.5125E-06	0.573312
1.6125E-06	0.589815
1.8125E-06	0.584314
2.0125E-06	0.655828
2.2125E-06	0.727342
2.4125E-06	0.743846
2.6125E-06	0.705338
2.8125E-06	0.688835
3.0125E-06	0.705338
3.2125E-06	0.622822
3.6125E-06	0.743846
4.0125E-06	0.66408
4.4125E-06	0.774102
4.8125E-06	0.686084
5.2125E-06	0.699837
5.6125E-06	0.578813
6.0125E-06	0.702587
6.4125E-06	0.727342
7.2125E-06	0.632448
8.0125E-06	0.676457
8.8125E-06	0.724592
9.6125E-06	0.632448
1.04125E-05	0.686084
1.12125E-05	0.635199
1.20125E-05	0.720466
1.28125E-05	0.636574
1.44125E-05	0.69021
1.60125E-05	0.674394
1.76125E-05	0.6407
1.92125E-05	0.662704
2.08125E-05	0.666143
