3/3/2026	12:46 PM
Pseudo Cross Correlation
Scattering angle:	39.98
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	30.5
Average Count rate  B (kHz):	28.3
Intercept:	1.6343
Cumulant 1st	2548.5486
Cumulant 2nd	3039.8303	2026.8741
Cumulant 3rd	1787.2815	1588.2214

Lag time (s)         g2-1
1.25E-08	1.68499
2.5E-08	1.82665
3.75E-08	1.54978
5E-08	1.83953
6.25E-08	1.7365
7.5E-08	1.69787
8.75E-08	1.91679
1E-07	1.66568
1.125E-07	1.86528
1.25E-07	1.91035
1.375E-07	1.54334
1.5E-07	1.72363
1.625E-07	1.60773
1.75E-07	1.78802
1.875E-07	1.55622
2E-07	1.79445
2.125E-07	1.6528
2.375E-07	1.65924
2.625E-07	1.73972
2.875E-07	1.63992
3.125E-07	1.71397
3.375E-07	1.72363
3.625E-07	1.72041
3.875E-07	1.90391
4.125E-07	1.69626
4.625E-07	1.60451
5.125E-07	1.59485
5.625E-07	1.90874
6.125E-07	1.67856
6.625E-07	1.67051
7.125E-07	1.67212
7.625E-07	1.72202
8.125E-07	1.75421
9.125E-07	1.7349
1.0125E-06	1.72926
1.1125E-06	1.7526
1.2125E-06	1.7357
1.3125E-06	1.67453
1.4125E-06	1.70914
1.5125E-06	1.71236
1.6125E-06	1.69868
1.8125E-06	1.72564
2.0125E-06	1.64354
2.2125E-06	1.75743
2.4125E-06	1.68942
2.6125E-06	1.70954
2.8125E-06	1.73248
3.0125E-06	1.66326
3.2125E-06	1.69405
3.6125E-06	1.70552
4.0125E-06	1.67332
4.4125E-06	1.70029
4.8125E-06	1.71115
5.2125E-06	1.69284
5.6125E-06	1.69848
6.0125E-06	1.7033
6.4125E-06	1.70552
7.2125E-06	1.70049
8.0125E-06	1.69214
8.8125E-06	1.70391
9.6125E-06	1.65391
1.04125E-05	1.66045
1.12125E-05	1.69948
1.20125E-05	1.69204
1.28125E-05	1.69153
1.44125E-05	1.71965
1.60125E-05	1.69344
1.76125E-05	1.67986
1.92125E-05	1.67574
2.08125E-05	1.67433
2.24125E-05	1.69752
2.40125E-05	1.68123
2.56125E-05	1.68437
2.88125E-05	1.68002
3.20125E-05	1.69094
3.52125E-05	1.67247
3.84125E-05	1.69056
4.16125E-05	1.66812
4.48125E-05	1.69257
4.80125E-05	1.68694
5.12125E-05	1.68858
5.76125E-05	1.67914
6.40125E-05	1.68443
7.04125E-05	1.67477
7.68125E-05	1.67742
8.32125E-05	1.66806
8.96125E-05	1.6608
9.60125E-05	1.66344
0.000102413	1.66394
0.000115213	1.67202
0.000128013	1.66452
0.000140813	1.6641
0.000153613	1.66386
0.000166413	1.65566
0.000179213	1.6509
0.000192013	1.65155
0.000204813	1.65603
0.000230413	1.64973
0.000256013	1.64319
0.000281613	1.64148
0.000307213	1.64192
0.000332813	1.63549
0.000358413	1.62705
0.000384013	1.62766
0.000409613	1.61885
0.000460813	1.61444
0.000512013	1.6119
0.000563213	1.59899
0.000614413	1.595
0.000665613	1.58434
0.000716813	1.5799
0.000768013	1.57091
0.000819213	1.56596
0.000921613	1.5597
0.00102401	1.54413
0.00112641	1.5335
0.00122881	1.52474
0.00133121	1.51427
0.00143361	1.505
0.00153601	1.49412
0.00163841	1.48359
0.00184321	1.46474
0.00204801	1.45034
0.00225281	1.43315
0.00245761	1.41675
0.00266241	1.39997
0.00286721	1.38599
0.00307201	1.37343
0.00327681	1.36016
0.00368641	1.33446
0.00409601	1.3119
0.00450561	1.29244
0.00491521	1.27346
0.00532481	1.25212
0.00573441	1.2315
0.00614401	1.21575
0.00655361	1.19728
0.00737281	1.1658
0.00819201	1.14021
0.00901121	1.11761
0.00983041	1.09767
0.0106496	1.08196
0.0114688	1.06674
0.012288	1.05372
0.0131072	1.04227
0.0147456	1.01486
0.016384	0.988142
0.0180224	0.973142
0.0196608	0.952243
0.0212992	0.933034
0.0229376	0.913446
0.024576	0.893454
0.0262144	0.872179
0.0294912	0.84547
0.032768	0.826845
0.0360448	0.786569
0.0393216	0.766968
0.0425984	0.765069
0.0458752	0.756615
0.049152	0.733827
0.0524288	0.707266
0.0589824	0.697232
0.065536	0.683798
0.0720896	0.630367
0.0786432	0.62976
0.0851968	0.629627
0.0917504	0.637351
0.098304	0.631361
0.104858	0.635221
0.117965	0.64368
0.131072	0.662914
0.144179	0.650931
0.157286	0.672493
0.170394	0.68013
0.183501	0.684024
0.196608	0.660911
0.209715	0.640821
0.23593	0.585989
0.262144	0.518602
0.288358	0.556913
0.314573	0.642185
0.340787	0.593731
0.367002	0.591993
0.393216	0.582529
0.41943	0.610163
0.471859	0.650898
0.524288	0.599887
0.576717	0.575286
0.629146	0.520492
0.681574	0.520402
0.734003	0.508703
0.786432	0.52781
0.838861	0.492126
0.943718	0.455059
1.04858	0.36039
1.15343	0.412444
1.25829	0.407207
1.36315	0.347493
1.46801	0.223111
1.57286	0.20411
1.67772	0.17115
1.88744	0.117411
2.09715	0.0546489
2.30687	-0.0210767
2.51658	-0.0736327
2.7263	-0.161887
2.93601	-0.197635
3.14573	-0.253879
3.35544	-0.285942
3.77487	-0.376564
4.1943	-0.444088
4.61373	-0.484212
5.03316	-0.505329
5.4526	-0.513316
5.87203	-0.526141
6.29146	-0.530981
6.71089	-0.533432
7.54975	-0.533421
8.38861	-0.532418
9.22747	-0.520902
10.0663	-0.498459
10.9052	-0.46949
11.7441	-0.444596
12.5829	-0.43438

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	40.340424	37.193298
0.052429	60.291290	55.198669
0.104858	22.125244	20.389557
0.157286	45.833588	41.236877
0.209715	52.566528	48.961639
0.262144	60.081482	53.882599
0.314573	30.155182	27.256012
0.367002	40.588379	38.986206
0.419430	34.618378	31.108856
0.471859	91.133118	83.408356
0.524288	172.328949	159.854889
0.576717	50.163269	46.634674
0.629146	49.324036	47.073364
