3/3/2026	12:34 PM
Pseudo Cross Correlation
Scattering angle:	20.01
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	386.8
Average Count rate  B (kHz):	353.9
Intercept:	0.9477
Cumulant 1st	571.7629
Cumulant 2nd	476.1454	414.1954
Cumulant 3rd	416.0234	563.3506

Lag time (s)         g2-1
1.25E-08	0.943322
2.5E-08	0.942512
3.75E-08	0.942309
5E-08	0.940363
6.25E-08	0.958403
7.5E-08	0.944295
8.75E-08	0.951552
1E-07	0.943201
1.125E-07	0.937971
1.25E-07	0.969267
1.375E-07	0.941944
1.5E-07	0.962781
1.625E-07	0.957268
1.75E-07	0.951673
1.875E-07	0.957957
2E-07	0.935944
2.125E-07	0.943343
2.375E-07	0.942897
2.625E-07	0.940262
2.875E-07	0.945147
3.125E-07	0.946951
3.375E-07	0.948673
3.625E-07	0.95372
3.875E-07	0.939735
4.125E-07	0.948309
4.625E-07	0.955444
5.125E-07	0.950194
5.625E-07	0.95664
6.125E-07	0.945096
6.625E-07	0.942978
7.125E-07	0.951248
7.625E-07	0.952089
8.125E-07	0.951471
9.125E-07	0.950625
1.0125E-06	0.947888
1.1125E-06	0.949707
1.2125E-06	0.945066
1.3125E-06	0.949419
1.4125E-06	0.950199
1.5125E-06	0.953488
1.6125E-06	0.947807
1.8125E-06	0.950136
2.0125E-06	0.950153
2.2125E-06	0.949444
2.4125E-06	0.946624
2.6125E-06	0.949958
2.8125E-06	0.945286
3.0125E-06	0.948687
3.2125E-06	0.947386
3.6125E-06	0.945865
4.0125E-06	0.948574
4.4125E-06	0.949065
4.8125E-06	0.947721
5.2125E-06	0.945523
5.6125E-06	0.949402
6.0125E-06	0.944159
6.4125E-06	0.94822
7.2125E-06	0.94894
8.0125E-06	0.946881
8.8125E-06	0.949126
9.6125E-06	0.947368
1.04125E-05	0.949525
1.12125E-05	0.947813
1.20125E-05	0.947543
1.28125E-05	0.947769
1.44125E-05	0.947939
1.60125E-05	0.946975
1.76125E-05	0.947631
1.92125E-05	0.947974
2.08125E-05	0.947243
2.24125E-05	0.948507
2.40125E-05	0.949499
2.56125E-05	0.948184
2.88125E-05	0.947625
3.20125E-05	0.946658
3.52125E-05	0.947747
3.84125E-05	0.947051
4.16125E-05	0.946828
4.48125E-05	0.946927
4.80125E-05	0.947123
5.12125E-05	0.946644
5.76125E-05	0.946337
6.40125E-05	0.946278
7.04125E-05	0.946406
7.68125E-05	0.946694
8.32125E-05	0.946633
8.96125E-05	0.945944
9.60125E-05	0.946025
0.000102413	0.94599
0.000115213	0.945728
0.000128013	0.945313
0.000140813	0.944744
0.000153613	0.944413
0.000166413	0.944695
0.000179213	0.944148
0.000192013	0.944084
0.000204813	0.943961
0.000230413	0.94313
0.000256013	0.943068
0.000281613	0.942414
0.000307213	0.941809
0.000332813	0.941069
0.000358413	0.940618
0.000384013	0.940114
0.000409613	0.939562
0.000460813	0.938608
0.000512013	0.937462
0.000563213	0.936341
0.000614413	0.935634
0.000665613	0.934423
0.000716813	0.933454
0.000768013	0.932624
0.000819213	0.931676
0.000921613	0.929555
0.00102401	0.92765
0.00112641	0.925585
0.00122881	0.923618
0.00133121	0.921762
0.00143361	0.919891
0.00153601	0.917986
0.00163841	0.915969
0.00184321	0.912201
0.00204801	0.908253
0.00225281	0.904264
0.00245761	0.900661
0.00266241	0.896978
0.00286721	0.893159
0.00307201	0.889507
0.00327681	0.885938
0.00368641	0.878983
0.00409601	0.87222
0.00450561	0.865707
0.00491521	0.859524
0.00532481	0.85334
0.00573441	0.847101
0.00614401	0.840982
0.00655361	0.835128
0.00737281	0.823202
0.00819201	0.811556
0.00901121	0.800477
0.00983041	0.789737
0.0106496	0.779047
0.0114688	0.768973
0.012288	0.759541
0.0131072	0.750644
0.0147456	0.733405
0.016384	0.716626
0.0180224	0.700397
0.0196608	0.685245
0.0212992	0.669552
0.0229376	0.654478
0.024576	0.640612
0.0262144	0.627418
0.0294912	0.59986
0.032768	0.574225
0.0360448	0.549592
0.0393216	0.527934
0.0425984	0.510703
0.0458752	0.495351
0.049152	0.479983
0.0524288	0.463987
0.0589824	0.428774
0.065536	0.395875
0.0720896	0.363577
0.0786432	0.335175
0.0851968	0.307597
0.0917504	0.283787
0.098304	0.264166
0.104858	0.246847
0.117965	0.219963
0.131072	0.2114
0.144179	0.219557
0.157286	0.236095
0.170394	0.25031
0.183501	0.256412
0.196608	0.254359
0.209715	0.26377
0.23593	0.252872
0.262144	0.218197
0.288358	0.235948
0.314573	0.257425
0.340787	0.301776
0.367002	0.313575
0.393216	0.307966
0.41943	0.294424
0.471859	0.260101
0.524288	0.241141
0.576717	0.194397
0.629146	0.156189
0.681574	0.154622
0.734003	0.150761
0.786432	0.184055
0.838861	0.210253
0.943718	0.155066
1.04858	0.129524
1.15343	0.185443
1.25829	0.18608
1.36315	0.143829
1.46801	0.170121
1.57286	0.164453
1.67772	0.183495
1.88744	0.175434
2.09715	0.154265
2.30687	0.199404
2.51658	0.150557
2.7263	0.128144
2.93601	0.100737
3.14573	0.0533306
3.35544	0.056184
3.77487	0.153334
4.1943	0.159483
4.61373	0.211833
5.03316	0.178294
5.4526	0.290359
5.87203	0.34028
6.29146	0.386972
6.71089	0.416221
7.54975	0.452957
8.38861	0.427685
9.22747	0.406873
10.0663	0.506002
10.9052	0.726707
11.7441	0.876798
12.5829	0.246855

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	268.459320	245.552063
0.052429	144.729614	130.748749
0.104858	245.838165	226.516724
0.157286	134.925842	124.683380
0.209715	604.038239	554.656982
0.262144	528.774261	487.880707
0.314573	497.703552	455.894470
0.367002	657.672882	600.833893
0.419430	280.780792	256.595612
0.471859	65.784454	60.291290
0.524288	38.337708	36.163330
0.576717	222.320557	203.971863
0.629146	411.758423	373.077393
0.681574	482.959747	445.404053
0.734003	112.190247	103.359222
0.786432	38.528442	37.288666
0.838861	121.383667	112.800598
0.891290	365.409851	335.178375
0.943718	319.614410	289.821625
0.996147	289.020538	261.344910
1.048576	35.228729	34.503937
1.101005	110.225677	101.699829
1.153434	40.454865	39.062500
1.205862	75.054169	71.029663
1.258291	58.956146	54.664612
1.310720	44.956207	40.264130
1.363149	224.857330	213.756561
1.415578	200.805664	182.857513
1.468006	239.486694	225.448608
1.520435	168.800354	159.606934
1.572864	129.241943	122.394562
1.625293	64.487457	59.604645
1.677722	38.604736	36.640167
1.730150	102.939606	97.274780
1.782579	39.882660	37.231445
1.835008	71.468353	66.680908
1.887437	119.743347	114.002228
1.939866	149.650574	134.296417
1.992294	296.268463	273.017883
2.044723	428.485870	385.971069
2.097152	121.326447	108.947754
2.149581	122.375488	113.620758
2.202010	21.553040	20.141602
2.254438	114.955902	108.070374
2.306867	97.599030	89.645386
2.359296	23.078918	20.427704
2.411725	164.775848	152.492523
2.464154	206.279755	188.159943
2.516582	122.489929	110.607147
2.569011	113.887787	104.179382
2.621440	122.032166	111.656189
2.673869	129.833221	120.334625
2.726298	264.072418	245.094299
2.778726	289.974213	271.377563
2.831155	122.261047	111.007690
2.883584	61.511993	55.255890
2.936013	214.958191	199.699402
2.988442	162.773132	147.304535
3.040870	90.808868	82.511902
3.093299	69.084167	63.838959
3.145728	98.915100	94.757080
3.198157	406.761169	376.853943
3.250586	135.955811	126.190186
3.303014	109.462738	100.917816
3.355443	311.508179	286.445618
3.407872	150.775909	137.252808
3.460301	137.500763	125.656128
3.512730	339.698792	311.069489
3.565158	342.941284	314.140320
3.617587	373.802185	342.559814
3.670016	251.235962	229.454041
3.722445	279.769897	255.737305
3.774874	666.732788	612.068176
3.827302	988.178253	899.047852
3.879731	484.638214	442.409515
3.932160	221.977234	203.895569
3.984589	552.196503	502.052307
4.037018	426.292419	387.115479
4.089446	286.827087	257.129669
4.141875	446.090698	409.603119
4.194304	890.579224	806.980133
4.246733	595.588684	539.379120
4.299162	240.840912	225.028992
4.351590	104.846954	96.950531
4.404019	394.096375	364.322662
4.456448	766.677856	700.721741
4.508877	579.071045	529.842377
4.561306	213.985443	195.980072
4.613734	188.484192	172.290802
4.666163	100.326538	91.457367
4.718592	352.764130	320.205688
4.771021	969.657898	894.660950
4.823450	388.088226	358.486176
4.875878	264.911652	243.816376
4.928307	341.281891	319.309235
4.980736	396.823883	360.279083
5.033165	172.920227	153.656006
5.085594	257.415771	232.944489
5.138022	190.048218	172.309875
5.190451	112.419128	102.996826
5.242880	245.895386	225.028992
