3/3/2026	12:2 PM
Pseudo Cross Correlation
Scattering angle:	48.01
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	41.2
Average Count rate  B (kHz):	38.0
Intercept:	1.3068
Cumulant 1st	563.4583
Cumulant 2nd	404.7964	314.4644
Cumulant 3rd	254.8387	254.2759

Lag time (s)         g2-1
1.25E-08	1.39372
2.5E-08	1.32066
3.75E-08	1.22324
5E-08	1.36937
6.25E-08	1.41808
7.5E-08	1.35197
8.75E-08	1.2128
1E-07	1.36241
1.125E-07	1.3137
1.25E-07	1.53637
1.375E-07	1.32066
1.5E-07	1.44243
1.625E-07	1.30326
1.75E-07	1.3137
1.875E-07	1.44243
2E-07	1.50854
2.125E-07	1.41286
2.375E-07	1.31892
2.625E-07	1.41286
2.875E-07	1.44765
3.125E-07	1.42329
3.375E-07	1.33109
3.625E-07	1.36589
3.875E-07	1.35893
4.125E-07	1.32762
4.625E-07	1.38067
5.125E-07	1.33544
5.625E-07	1.27282
6.125E-07	1.30587
6.625E-07	1.38415
7.125E-07	1.39633
7.625E-07	1.25803
8.125E-07	1.33892
9.125E-07	1.40285
1.0125E-06	1.34893
1.1125E-06	1.3685
1.2125E-06	1.41286
1.3125E-06	1.33457
1.4125E-06	1.35588
1.5125E-06	1.35023
1.6125E-06	1.3922
1.8125E-06	1.32805
2.0125E-06	1.36284
2.2125E-06	1.37785
2.4125E-06	1.39807
2.6125E-06	1.35197
2.8125E-06	1.34392
3.0125E-06	1.37219
3.2125E-06	1.36219
3.6125E-06	1.35806
4.0125E-06	1.3498
4.4125E-06	1.36295
4.8125E-06	1.36349
5.2125E-06	1.33881
5.6125E-06	1.33599
6.0125E-06	1.3548
6.4125E-06	1.36349
7.2125E-06	1.37458
8.0125E-06	1.36268
8.8125E-06	1.35806
9.6125E-06	1.36735
1.04125E-05	1.35534
1.12125E-05	1.35545
1.20125E-05	1.37458
1.28125E-05	1.36311
1.44125E-05	1.34403
1.60125E-05	1.34028
1.76125E-05	1.35393
1.92125E-05	1.34322
2.08125E-05	1.33115
2.24125E-05	1.32957
2.40125E-05	1.3586
2.56125E-05	1.33789
2.88125E-05	1.3337
3.20125E-05	1.32298
3.52125E-05	1.32097
3.84125E-05	1.31279
4.16125E-05	1.30669
4.48125E-05	1.31185
4.80125E-05	1.30059
5.12125E-05	1.29781
5.76125E-05	1.29242
6.40125E-05	1.28664
7.04125E-05	1.27328
7.68125E-05	1.26475
8.32125E-05	1.26162
8.96125E-05	1.25083
9.60125E-05	1.25089
0.000102413	1.2367
0.000115213	1.22179
0.000128013	1.21385
0.000140813	1.20392
0.000153613	1.19522
0.000166413	1.18356
0.000179213	1.17246
0.000192013	1.15838
0.000204813	1.1547
0.000230413	1.13716
0.000256013	1.12159
0.000281613	1.10753
0.000307213	1.09664
0.000332813	1.08328
0.000358413	1.07418
0.000384013	1.06573
0.000409613	1.05689
0.000460813	1.03728
0.000512013	1.02438
0.000563213	1.01019
0.000614413	1.00423
0.000665613	0.991414
0.000716813	0.977948
0.000768013	0.97418
0.000819213	0.963012
0.000921613	0.950829
0.00102401	0.937821
0.00112641	0.924095
0.00122881	0.912898
0.00133121	0.902477
0.00143361	0.889678
0.00153601	0.877896
0.00163841	0.868072
0.00184321	0.849916
0.00204801	0.831655
0.00225281	0.813732
0.00245761	0.802132
0.00266241	0.787679
0.00286721	0.773414
0.00307201	0.760961
0.00327681	0.750707
0.00368641	0.729508
0.00409601	0.706425
0.00450561	0.681924
0.00491521	0.663391
0.00532481	0.644395
0.00573441	0.625595
0.00614401	0.616308
0.00655361	0.608919
0.00737281	0.589728
0.00819201	0.58007
0.00901121	0.56811
0.00983041	0.557808
0.0106496	0.547062
0.0114688	0.538782
0.012288	0.531905
0.0131072	0.525529
0.0147456	0.511792
0.016384	0.501201
0.0180224	0.496992
0.0196608	0.492802
0.0212992	0.499471
0.0229376	0.496494
0.024576	0.496999
0.0262144	0.502123
0.0294912	0.494093
0.032768	0.479077
0.0360448	0.475871
0.0393216	0.464976
0.0425984	0.442379
0.0458752	0.433819
0.049152	0.436278
0.0524288	0.435527
0.0589824	0.40042
0.065536	0.371857
0.0720896	0.363631
0.0786432	0.379668
0.0851968	0.379721
0.0917504	0.360575
0.098304	0.356896
0.104858	0.382124
0.117965	0.363638
0.131072	0.349938
0.144179	0.334252
0.157286	0.325085
0.170394	0.269928
0.183501	0.286876
0.196608	0.265416
0.209715	0.254781
0.23593	0.235659
0.262144	0.239805
0.288358	0.227737
0.314573	0.200733
0.340787	0.169103
0.367002	0.143972
0.393216	0.109696
0.41943	0.108099
0.471859	0.0910966
0.524288	0.0833701
0.576717	0.0674707
0.629146	0.073722
0.681574	0.0746386
0.734003	0.0562881
0.786432	0.0658714
0.838861	0.0630845
0.943718	0.0854267
1.04858	0.157525
1.15343	0.208254
1.25829	0.194334
1.36315	0.204445
1.46801	0.182621
1.57286	0.146382
1.67772	0.1218
1.88744	0.0880383
2.09715	0.0768502
2.30687	0.0898243
2.51658	0.0898381
2.7263	0.0857648
2.93601	0.0835581
3.14573	0.0808343
3.35544	0.089856
3.77487	0.104361
4.1943	0.112041
4.61373	0.109883
5.03316	0.12083
5.4526	0.142885
5.87203	0.160825
6.29146	0.172179
6.71089	0.197355
7.54975	0.274777
8.38861	0.33872
9.22747	0.455584
10.0663	0.528504
10.9052	0.72206
11.7441	0.892823
12.5829	1.14843

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	17.166138	15.926361
0.052429	23.803711	22.068024
0.104858	21.820068	18.711090
0.157286	23.632050	22.182465
0.209715	46.138763	43.678284
0.262144	22.354126	22.792816
0.314573	19.626617	19.779205
0.367002	32.825470	28.591156
0.419430	30.612946	28.705597
0.471859	29.373169	28.533936
0.524288	22.563934	20.484924
0.576717	23.708344	22.087097
0.629146	24.948120	24.070740
0.681574	38.909912	35.324097
0.734003	26.836395	25.520325
0.786432	28.724670	27.561188
0.838861	30.174255	27.599335
0.891290	28.152466	26.531219
0.943718	34.122467	31.471252
0.996147	24.681091	23.250580
1.048576	21.286011	20.256042
1.101005	24.662018	24.070740
1.153434	27.008057	25.539398
1.205862	27.046204	27.065277
1.258291	37.193298	33.855438
1.310720	31.547546	29.296875
1.363149	18.615723	17.166138
1.415578	16.975403	16.231537
1.468006	28.247833	25.482178
1.520435	28.781891	27.809143
1.572864	33.168793	28.648376
1.625293	22.659302	21.400452
1.677722	37.364960	32.997131
1.730150	27.351379	27.046204
1.782579	26.073456	24.127960
1.835008	25.939941	23.765564
1.887437	19.493103	18.424988
1.939866	25.482178	23.689270
1.992294	28.743744	23.784637
2.044723	31.223297	25.844574
2.097152	26.168823	25.196075
2.149581	27.065277	24.967194
2.202010	18.596649	17.013550
2.254438	26.340485	25.539398
2.306867	29.563904	28.419495
2.359296	36.525726	33.245087
2.411725	33.111572	31.166077
2.464154	33.092499	30.803680
2.516582	32.634735	30.593872
2.569011	41.503906	35.934448
2.621440	43.506622	41.599274
2.673869	36.334991	33.454895
2.726298	33.874512	33.206940
2.778726	27.179718	24.299622
2.831155	34.313202	31.547546
2.883584	46.119690	43.716431
2.936013	41.046143	39.348602
2.988442	35.457611	31.738281
3.040870	27.027130	25.901794
3.093299	31.337738	28.800964
3.145728	38.681030	36.582947
3.198157	32.043457	29.239655
3.250586	24.318695	23.975372
3.303014	34.160614	32.596588
3.355443	22.010803	20.580292
3.407872	22.773743	20.885468
3.460301	29.678345	27.713776
3.512730	30.879974	29.602051
3.565158	28.533936	27.484894
3.617587	49.114227	43.163300
3.670016	26.016235	24.967194
3.722445	28.247833	25.978088
3.774874	22.354126	20.160675
3.827302	30.765533	30.002594
3.879731	67.329407	62.084198
3.932160	38.070679	33.798218
3.984589	26.245117	24.757385
4.037018	30.441284	27.008057
4.089446	34.580231	32.596588
4.141875	43.430328	39.558411
4.194304	25.615692	24.833679
