3/3/2026	12:8 PM
Pseudo Cross Correlation
Scattering angle:	59.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	45.6
Average Count rate  B (kHz):	41.9
Intercept:	0.8125
Cumulant 1st	115.6237
Cumulant 2nd	75.1671	67.0269
Cumulant 3rd	54.0406	64.7834

Lag time (s)         g2-1
1.25E-08	0.685022
2.5E-08	0.859437
3.75E-08	0.971772
5E-08	0.906736
6.25E-08	0.847612
7.5E-08	0.859437
8.75E-08	0.735278
1E-07	0.835788
1.125E-07	0.921517
1.25E-07	0.767795
1.375E-07	0.909692
1.5E-07	0.862393
1.625E-07	0.744146
1.75E-07	0.705716
1.875E-07	0.800313
2E-07	0.862393
2.125E-07	0.764839
2.375E-07	0.816572
2.625E-07	0.860915
2.875E-07	0.781098
3.125E-07	0.816572
3.375E-07	0.856481
3.625E-07	0.857959
3.875E-07	0.815094
4.125E-07	0.821007
4.625E-07	0.807704
5.125E-07	0.781098
5.625E-07	0.750797
6.125E-07	0.854264
6.625E-07	0.793662
7.125E-07	0.764839
7.625E-07	0.750797
8.125E-07	0.77962
9.125E-07	0.819898
1.0125E-06	0.854264
1.1125E-06	0.852416
1.2125E-06	0.794771
1.3125E-06	0.854264
1.4125E-06	0.796988
1.5125E-06	0.836157
1.6125E-06	0.795328
1.8125E-06	0.846322
2.0125E-06	0.830248
2.2125E-06	0.861103
2.4125E-06	0.814358
2.6125E-06	0.822672
2.8125E-06	0.815467
3.0125E-06	0.805305
3.2125E-06	0.829693
3.6125E-06	0.816483
4.0125E-06	0.833204
4.4125E-06	0.820732
4.8125E-06	0.823689
5.2125E-06	0.817591
5.6125E-06	0.808446
6.0125E-06	0.814358
6.4125E-06	0.821287
7.2125E-06	0.827476
8.0125E-06	0.829324
8.8125E-06	0.820132
9.6125E-06	0.790709
1.04125E-05	0.800639
1.12125E-05	0.809231
1.20125E-05	0.814266
1.28125E-05	0.806967
1.44125E-05	0.809901
1.60125E-05	0.805882
1.76125E-05	0.794981
1.92125E-05	0.797891
2.08125E-05	0.792648
2.24125E-05	0.786828
2.40125E-05	0.775743
2.56125E-05	0.771724
2.88125E-05	0.768849
3.20125E-05	0.786369
3.52125E-05	0.764036
3.84125E-05	0.760064
4.16125E-05	0.754128
4.48125E-05	0.746068
4.80125E-05	0.745375
5.12125E-05	0.740473
5.76125E-05	0.725111
6.40125E-05	0.72208
7.04125E-05	0.713941
7.68125E-05	0.713545
8.32125E-05	0.703539
8.96125E-05	0.697205
9.60125E-05	0.685958
0.000102413	0.682825
0.000115213	0.6691
0.000128013	0.653649
0.000140813	0.648796
0.000153613	0.635204
0.000166413	0.624364
0.000179213	0.615836
0.000192013	0.608128
0.000204813	0.602019
0.000230413	0.586734
0.000256013	0.57214
0.000281613	0.564246
0.000307213	0.552327
0.000332813	0.543354
0.000358413	0.536668
0.000384013	0.526791
0.000409613	0.51869
0.000460813	0.508562
0.000512013	0.496512
0.000563213	0.485959
0.000614413	0.476023
0.000665613	0.465375
0.000716813	0.454645
0.000768013	0.445521
0.000819213	0.438101
0.000921613	0.423542
0.00102401	0.411646
0.00112641	0.396821
0.00122881	0.384936
0.00133121	0.372039
0.00143361	0.358854
0.00153601	0.348411
0.00163841	0.341526
0.00184321	0.325271
0.00204801	0.311082
0.00225281	0.294501
0.00245761	0.283447
0.00266241	0.273315
0.00286721	0.261344
0.00307201	0.250962
0.00327681	0.24353
0.00368641	0.229568
0.00409601	0.216873
0.00450561	0.204515
0.00491521	0.195507
0.00532481	0.185892
0.00573441	0.177706
0.00614401	0.172197
0.00655361	0.163376
0.00737281	0.1528
0.00819201	0.141684
0.00901121	0.136819
0.00983041	0.127802
0.0106496	0.124442
0.0114688	0.124282
0.012288	0.124068
0.0131072	0.124376
0.0147456	0.115897
0.016384	0.112582
0.0180224	0.10909
0.0196608	0.108059
0.0212992	0.106261
0.0229376	0.0999016
0.024576	0.0941019
0.0262144	0.0877566
0.0294912	0.087743
0.032768	0.0908693
0.0360448	0.0869475
0.0393216	0.0797006
0.0425984	0.0731365
0.0458752	0.0813652
0.049152	0.0879583
0.0524288	0.0920816
0.0589824	0.0951233
0.065536	0.0980588
0.0720896	0.0876368
0.0786432	0.0853112
0.0851968	0.0858305
0.0917504	0.0906728
0.098304	0.0806977
0.104858	0.0910962
0.117965	0.0930084
0.131072	0.0973675
0.144179	0.0942503
0.157286	0.0912915
0.170394	0.0854333
0.183501	0.0792437
0.196608	0.0839921
0.209715	0.080805
0.23593	0.0915973
0.262144	0.0860337
0.288358	0.087044
0.314573	0.0977456
0.340787	0.0851421
0.367002	0.0879454
0.393216	0.0879618
0.41943	0.084481
0.471859	0.0751558
0.524288	0.0892799
0.576717	0.080107
0.629146	0.0900804
0.681574	0.0893966
0.734003	0.0820535
0.786432	0.0888001
0.838861	0.0947349
0.943718	0.0969749
1.04858	0.0935724
1.15343	0.0910892
1.25829	0.09108
1.36315	0.0900042
1.46801	0.0902919
1.57286	0.0931359
1.67772	0.0952235
1.88744	0.0926635
2.09715	0.0911147
2.30687	0.0919968
2.51658	0.0912496
2.7263	0.086138
2.93601	0.0841489
3.14573	0.083019
3.35544	0.0831835
3.77487	0.0830497
4.1943	0.0807562
4.61373	0.0874685
5.03316	0.0875175
5.4526	0.0821755
5.87203	0.0829542
6.29146	0.0821547
6.71089	0.102505
7.54975	0.102497
