3/3/2026	11:49 AM
Pseudo Cross Correlation
Scattering angle:	24.02
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	157.4
Average Count rate  B (kHz):	144.4
Intercept:	0.9528
Cumulant 1st	182605.0917
Cumulant 2nd	26402.8404	23512.0003
Cumulant 3rd	13737.8988	12141.1176

Lag time (s)         g2-1
1.25E-08	1.07375
2.5E-08	1.05447
3.75E-08	1.12744
5E-08	1.0945
6.25E-08	1.10157
7.5E-08	1.1167
8.75E-08	1.08913
1E-07	1.11304
1.125E-07	1.07644
1.25E-07	1.07009
1.375E-07	1.13647
1.5E-07	1.08351
1.625E-07	1.10084
1.75E-07	1.10279
1.875E-07	1.11426
2E-07	1.11402
2.125E-07	1.10426
2.375E-07	1.0945
2.625E-07	1.11878
2.875E-07	1.09352
3.125E-07	1.09413
3.375E-07	1.07595
3.625E-07	1.12207
3.875E-07	1.09608
4.125E-07	1.11554
4.625E-07	1.08876
5.125E-07	1.11243
5.625E-07	1.09236
6.125E-07	1.12292
6.625E-07	1.0912
7.125E-07	1.10529
7.625E-07	1.10694
8.125E-07	1.11399
9.125E-07	1.12683
1.0125E-06	1.10944
1.1125E-06	1.09727
1.2125E-06	1.09996
1.3125E-06	1.1045
1.4125E-06	1.10206
1.5125E-06	1.10798
1.6125E-06	1.10877
1.8125E-06	1.10836
2.0125E-06	1.10237
2.2125E-06	1.10563
2.4125E-06	1.11333
2.6125E-06	1.10964
2.8125E-06	1.09378
3.0125E-06	1.107
3.2125E-06	1.09993
3.6125E-06	1.10199
4.0125E-06	1.10438
4.4125E-06	1.10375
4.8125E-06	1.10212
5.2125E-06	1.10308
5.6125E-06	1.10426
6.0125E-06	1.10662
6.4125E-06	1.10776
7.2125E-06	1.1071
8.0125E-06	1.10505
8.8125E-06	1.10442
9.6125E-06	1.10112
1.04125E-05	1.10667
1.12125E-05	1.1008
1.20125E-05	1.10273
1.28125E-05	1.10209
1.44125E-05	1.09929
1.60125E-05	1.10438
1.76125E-05	1.10474
1.92125E-05	1.10184
2.08125E-05	1.10176
2.24125E-05	1.09802
2.40125E-05	1.10175
2.56125E-05	1.09968
2.88125E-05	1.10134
3.20125E-05	1.10082
3.52125E-05	1.0967
3.84125E-05	1.09712
4.16125E-05	1.09699
4.48125E-05	1.09844
4.80125E-05	1.09302
5.12125E-05	1.09261
5.76125E-05	1.092
6.40125E-05	1.08961
7.04125E-05	1.08816
7.68125E-05	1.08925
8.32125E-05	1.08703
8.96125E-05	1.08619
9.60125E-05	1.08482
0.000102413	1.08224
0.000115213	1.07956
0.000128013	1.0777
0.000140813	1.07388
0.000153613	1.0703
0.000166413	1.0683
0.000179213	1.0655
0.000192013	1.06313
0.000204813	1.06084
0.000230413	1.05646
0.000256013	1.05141
0.000281613	1.04639
0.000307213	1.0415
0.000332813	1.03729
0.000358413	1.03334
0.000384013	1.02946
0.000409613	1.02498
0.000460813	1.01756
0.000512013	1.0098
0.000563213	1.00329
0.000614413	0.995824
0.000665613	0.990307
0.000716813	0.984306
0.000768013	0.978622
0.000819213	0.973355
0.000921613	0.963307
0.00102401	0.954228
0.00112641	0.945474
0.00122881	0.937706
0.00133121	0.930109
0.00143361	0.923023
0.00153601	0.915155
0.00163841	0.908222
0.00184321	0.895978
0.00204801	0.885299
0.00225281	0.875488
0.00245761	0.866117
0.00266241	0.857161
0.00286721	0.849446
0.00307201	0.840751
0.00327681	0.833526
0.00368641	0.820651
0.00409601	0.809224
0.00450561	0.798579
0.00491521	0.786564
0.00532481	0.777398
0.00573441	0.76886
0.00614401	0.760357
0.00655361	0.75215
0.00737281	0.736368
0.00819201	0.721334
0.00901121	0.70828
0.00983041	0.694607
0.0106496	0.681565
0.0114688	0.670598
0.012288	0.661108
0.0131072	0.651606
0.0147456	0.637439
0.016384	0.62205
0.0180224	0.614188
0.0196608	0.610051
0.0212992	0.597441
0.0229376	0.588584
0.024576	0.580356
0.0262144	0.575921
0.0294912	0.563894
0.032768	0.55472
0.0360448	0.545152
0.0393216	0.5349
0.0425984	0.534879
0.0458752	0.534803
0.049152	0.533876
0.0524288	0.532927
0.0589824	0.541767
0.065536	0.552034
0.0720896	0.563763
0.0786432	0.566596
0.0851968	0.565545
0.0917504	0.560181
0.098304	0.548635
0.104858	0.5344
0.117965	0.521103
0.131072	0.519305
0.144179	0.514374
0.157286	0.512396
0.170394	0.509087
0.183501	0.525048
0.196608	0.530495
0.209715	0.536654
0.23593	0.535501
0.262144	0.542143
0.288358	0.547827
0.314573	0.538528
0.340787	0.541435
0.367002	0.556003
0.393216	0.561113
0.41943	0.536244
0.471859	0.526608
0.524288	0.503213
0.576717	0.519488
0.629146	0.521489
0.681574	0.521435
0.734003	0.505128
0.786432	0.503089
0.838861	0.501393
0.943718	0.481236
1.04858	0.490029
1.15343	0.470864
1.25829	0.464412
1.36315	0.452752
1.46801	0.456544
1.57286	0.434715
1.67772	0.396239
1.88744	0.385459
2.09715	0.383379
2.30687	0.40049
2.51658	0.412944
2.7263	0.426784
2.93601	0.430632
3.14573	0.413144
3.35544	0.414537
3.77487	0.416998
4.1943	0.393981
4.61373	0.352324
5.03316	0.372248
5.4526	0.409502
5.87203	0.408177
6.29146	0.412054
6.71089	0.455617
7.54975	0.540814
8.38861	0.652618
9.22747	0.794367
10.0663	0.877121
10.9052	1.03844
11.7441	1.24061
12.5829	1.68947

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	224.533081	207.099915
0.052429	140.247345	131.301880
0.104858	118.541718	112.762451
0.157286	42.858124	38.414001
0.209715	68.759918	63.552856
0.262144	245.208740	227.718353
0.314573	118.179321	109.195709
0.367002	125.045776	113.849640
0.419430	61.473846	55.980682
0.471859	47.817230	45.337677
0.524288	144.901276	130.100250
0.576717	48.923492	46.901703
0.629146	59.432983	53.882599
0.681574	58.212280	51.498413
0.734003	53.024292	48.255920
0.786432	77.762604	69.580078
0.838861	120.105743	110.874176
0.891290	71.029663	64.296722
0.943718	28.553009	25.062561
0.996147	34.675598	32.405853
1.048576	59.261322	53.882599
1.101005	77.972412	71.277618
1.153434	71.868896	64.983368
1.205862	121.269226	114.040375
1.258291	42.953491	40.779114
1.310720	75.817108	67.672729
1.363149	52.356720	46.977997
1.415578	77.610016	73.471069
1.468006	48.027039	43.087006
1.520435	44.822693	42.400360
1.572864	130.214691	119.457245
1.625293	110.149384	100.822449
1.677722	80.871582	74.882507
1.730150	49.648285	47.245026
1.782579	57.830811	52.585602
1.835008	70.915222	62.446594
1.887437	63.209534	56.819916
1.939866	62.465668	57.983398
1.992294	74.996948	69.198608
2.044723	76.847076	72.917938
2.097152	63.266754	59.204102
2.149581	75.149536	71.010590
2.202010	58.212280	51.574707
2.254438	58.536530	52.528381
2.306867	54.512024	50.735474
2.359296	102.996826	93.402863
2.411725	59.776306	53.787231
2.464154	52.776337	47.760010
2.516582	42.419434	38.757324
