3/3/2026	12:0 PM
Pseudo Cross Correlation
Scattering angle:	44.00
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	36.1
Average Count rate  B (kHz):	33.4
Intercept:	1.1028
Cumulant 1st	103.0730
Cumulant 2nd	62.0686	61.2432
Cumulant 3rd	42.9079	56.0156

Lag time (s)         g2-1
1.25E-08	1.20784
2.5E-08	1.09285
3.75E-08	1.15725
5E-08	1.15265
6.25E-08	0.996257
7.5E-08	1.12965
8.75E-08	1.05145
1E-07	1.17104
1.125E-07	1.06985
1.25E-07	1.12045
1.375E-07	1.01926
1.5E-07	1.11585
1.625E-07	1.06065
1.75E-07	1.15725
1.875E-07	1.23544
2E-07	1.08825
2.125E-07	1.08595
2.375E-07	1.06295
2.625E-07	1.07445
2.875E-07	1.03075
3.125E-07	0.95256
3.375E-07	1.08135
3.625E-07	1.14575
3.875E-07	1.12505
4.125E-07	1.1538
4.625E-07	1.23889
5.125E-07	1.1469
5.625E-07	1.14115
6.125E-07	1.1354
6.625E-07	1.09055
7.125E-07	1.12735
7.625E-07	1.0756
8.125E-07	1.13482
9.125E-07	1.0779
1.0125E-06	1.08078
1.1125E-06	1.03938
1.2125E-06	1.14632
1.3125E-06	1.0871
1.4125E-06	1.15897
1.5125E-06	1.13022
1.6125E-06	1.10349
1.8125E-06	1.17622
2.0125E-06	1.17334
2.2125E-06	1.14143
2.4125E-06	1.10377
2.6125E-06	1.08164
2.8125E-06	1.12131
3.0125E-06	1.09802
3.2125E-06	1.10708
3.6125E-06	1.10794
4.0125E-06	1.09587
4.4125E-06	1.08897
4.8125E-06	1.12246
5.2125E-06	1.09731
5.6125E-06	1.10708
6.0125E-06	1.1252
6.4125E-06	1.1027
7.2125E-06	1.0999
8.0125E-06	1.1045
8.8125E-06	1.11219
9.6125E-06	1.1068
1.04125E-05	1.09587
1.12125E-05	1.10371
1.20125E-05	1.08631
1.28125E-05	1.10414
1.44125E-05	1.09799
1.60125E-05	1.10694
1.76125E-05	1.08294
1.92125E-05	1.09767
2.08125E-05	1.07521
2.24125E-05	1.09271
2.40125E-05	1.08851
2.56125E-05	1.07825
2.88125E-05	1.08033
3.20125E-05	1.06215
3.52125E-05	1.07228
3.84125E-05	1.06168
4.16125E-05	1.06089
4.48125E-05	1.05426
4.80125E-05	1.04504
5.12125E-05	1.03495
5.76125E-05	1.03142
6.40125E-05	1.0198
7.04125E-05	1.01956
7.68125E-05	1.00359
8.32125E-05	0.993008
8.96125E-05	0.985767
9.60125E-05	0.98052
0.000102413	0.97702
0.000115213	0.9593
0.000128013	0.956663
0.000140813	0.933858
0.000153613	0.924623
0.000166413	0.916057
0.000179213	0.900978
0.000192013	0.894976
0.000204813	0.883945
0.000230413	0.86433
0.000256013	0.847008
0.000281613	0.83543
0.000307213	0.816777
0.000332813	0.801341
0.000358413	0.79315
0.000384013	0.782464
0.000409613	0.77292
0.000460813	0.753051
0.000512013	0.736964
0.000563213	0.724713
0.000614413	0.713263
0.000665613	0.700313
0.000716813	0.688473
0.000768013	0.680474
0.000819213	0.672393
0.000921613	0.657932
0.00102401	0.63945
0.00112641	0.62847
0.00122881	0.619525
0.00133121	0.60485
0.00143361	0.593321
0.00153601	0.584742
0.00163841	0.576578
0.00184321	0.559416
0.00204801	0.540408
0.00225281	0.521067
0.00245761	0.506239
0.00266241	0.49208
0.00286721	0.479931
0.00307201	0.463754
0.00327681	0.452707
0.00368641	0.429451
0.00409601	0.408416
0.00450561	0.392673
0.00491521	0.377041
0.00532481	0.358089
0.00573441	0.343543
0.00614401	0.334213
0.00655361	0.323674
0.00737281	0.309053
0.00819201	0.29254
0.00901121	0.277477
0.00983041	0.268104
0.0106496	0.257571
0.0114688	0.243363
0.012288	0.231589
0.0131072	0.226715
0.0147456	0.218099
0.016384	0.208804
