3/3/2026	12:5 PM
Pseudo Cross Correlation
Scattering angle:	55.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	31.0
Average Count rate  B (kHz):	28.7
Intercept:	0.7629
Cumulant 1st	38.6462
Cumulant 2nd	24.7485	23.8344
Cumulant 3rd	19.0197	24.1195

Lag time (s)         g2-1
1.25E-08	0.793047
2.5E-08	0.799405
3.75E-08	0.843913
5E-08	0.74218
6.25E-08	1.0601
7.5E-08	0.691314
8.75E-08	0.716747
1E-07	0.78033
1.125E-07	0.824838
1.25E-07	0.646805
1.375E-07	0.754897
1.5E-07	0.684955
1.625E-07	0.773972
1.75E-07	0.824838
1.875E-07	0.786688
2E-07	0.913855
2.125E-07	0.735822
2.375E-07	0.672239
2.625E-07	0.745359
2.875E-07	0.710389
3.125E-07	0.608655
3.375E-07	0.745359
3.625E-07	0.796226
3.875E-07	0.831197
4.125E-07	0.810532
4.625E-07	0.788278
5.125E-07	0.840734
5.625E-07	0.661112
6.125E-07	0.731053
6.625E-07	0.735822
7.125E-07	0.719926
7.625E-07	0.672239
8.125E-07	0.754897
9.125E-07	0.822454
1.0125E-06	0.696877
1.1125E-06	0.829607
1.2125E-06	0.814506
1.3125E-06	0.769998
1.4125E-06	0.777151
1.5125E-06	0.714363
1.6125E-06	0.786688
1.8125E-06	0.761653
2.0125E-06	0.757281
2.2125E-06	0.731848
2.4125E-06	0.787483
2.6125E-06	0.789073
2.8125E-06	0.768806
3.0125E-06	0.732245
3.2125E-06	0.745161
3.6125E-06	0.741385
4.0125E-06	0.761851
4.4125E-06	0.777946
4.8125E-06	0.707209
5.2125E-06	0.771389
5.6125E-06	0.732245
6.0125E-06	0.71317
6.4125E-06	0.758871
7.2125E-06	0.728867
8.0125E-06	0.743869
8.8125E-06	0.751519
9.6125E-06	0.718734
1.04125E-05	0.705421
1.12125E-05	0.735524
1.20125E-05	0.753407
1.28125E-05	0.742379
1.44125E-05	0.732543
1.60125E-05	0.724595
1.76125E-05	0.716647
1.92125E-05	0.698516
2.08125E-05	0.716449
2.24125E-05	0.713866
2.40125E-05	0.698715
2.56125E-05	0.694691
2.88125E-05	0.682645
3.20125E-05	0.679739
3.52125E-05	0.683042
3.84125E-05	0.668264
4.16125E-05	0.672391
4.48125E-05	0.658805
4.80125E-05	0.644673
5.12125E-05	0.640292
5.76125E-05	0.638777
6.40125E-05	0.624744
7.04125E-05	0.619367
7.68125E-05	0.596492
8.32125E-05	0.591971
8.96125E-05	0.586631
9.60125E-05	0.577839
0.000102413	0.567729
0.000115213	0.546245
0.000128013	0.536043
0.000140813	0.524618
0.000153613	0.508393
0.000166413	0.495813
0.000179213	0.482289
0.000192013	0.471733
0.000204813	0.465684
0.000230413	0.449301
0.000256013	0.439614
0.000281613	0.422259
0.000307213	0.408285
0.000332813	0.400508
0.000358413	0.390915
0.000384013	0.381477
0.000409613	0.373247
0.000460813	0.357516
0.000512013	0.347981
0.000563213	0.334481
0.000614413	0.327112
0.000665613	0.314845
0.000716813	0.309188
0.000768013	0.302575
0.000819213	0.294061
0.000921613	0.281028
0.00102401	0.265948
0.00112641	0.251525
0.00122881	0.238823
0.00133121	0.229652
0.00143361	0.220266
0.00153601	0.210184
0.00163841	0.201244
0.00184321	0.182047
0.00204801	0.167214
0.00225281	0.155929
0.00245761	0.144715
0.00266241	0.138171
0.00286721	0.129446
0.00307201	0.121079
0.00327681	0.114546
0.00368641	0.101575
0.00409601	0.0892018
0.00450561	0.0805752
0.00491521	0.0763253
0.00532481	0.07265
0.00573441	0.065766
0.00614401	0.0624372
0.00655361	0.0580529
0.00737281	0.0498659
0.00819201	0.0467898
0.00901121	0.0466765
0.00983041	0.0415706
0.0106496	0.0347214
0.0114688	0.0319429
0.012288	0.0290213
0.0131072	0.029104
0.0147456	0.0275623
0.016384	0.030815
0.0180224	0.0345325
0.0196608	0.0302561
0.0212992	0.0261181
0.0229376	0.0215173
0.024576	0.0195626
0.0262144	0.0224671
0.0294912	0.0198245
0.032768	0.0154635
0.0360448	0.0211631
0.0393216	0.0196855
0.0425984	0.0184711
0.0458752	0.0180224
0.049152	0.0201449
0.0524288	0.0233859
0.0589824	0.0201339
0.065536	0.0110603
0.0720896	0.0137066
0.0786432	0.01404
0.0851968	0.0194033
0.0917504	0.0220204
0.098304	0.0118934
0.104858	0.0186427
0.117965	0.0200833
0.131072	0.0154662
0.144179	0.0177981
0.157286	0.0179216
0.170394	0.0154802
0.183501	0.00643622
0.196608	0.0158882
0.209715	0.0140683
0.23593	0.0172794
0.262144	0.0160905
0.288358	0.0141085
0.314573	0.0152929
0.340787	0.0178262
0.367002	0.0139836
0.393216	0.0181329
0.41943	0.0129458
0.471859	0.0167527
0.524288	0.0155034
0.576717	0.019752
0.629146	0.0179161
0.681574	0.0185338
0.734003	0.0206772
0.786432	0.0222436
0.838861	0.0237602
0.943718	0.021775
1.04858	0.0227029
1.15343	0.0226364
1.25829	0.0174436
1.36315	0.0244617
1.46801	0.0274374
1.57286	0.0348165
1.67772	0.0303268
1.88744	0.0307317
2.09715	0.0290133
2.30687	0.0347744
2.51658	0.0337094
2.7263	0.0332796
2.93601	0.0312036
3.14573	0.0296965
3.35544	0.0299214
3.77487	0.026163
4.1943	0.0276747
4.61373	0.0233013
5.03316	0.0202199
5.4526	-1.18344E-05
5.87203	-0.000549095
6.29146	-0.0101183
6.71089	-0.0170106
7.54975	-0.0200518
8.38861	-0.0311442
9.22747	-0.0415836
10.0663	-0.0435469
10.9052	-0.0388876
11.7441	-0.0052733
12.5829	-0.00801431

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	18.806458	16.613007
0.052429	18.081665	15.449524
0.104858	21.839142	21.553040
0.157286	21.190643	19.798279
0.209715	31.776428	27.179718
0.262144	29.563904	25.711060
0.314573	21.114349	19.340515
0.367002	24.452209	23.136139
0.419430	32.653809	29.640198
0.471859	28.114319	25.539398
0.524288	25.558472	24.719238
0.576717	21.705627	21.190643
0.629146	23.136139	21.305084
0.681574	20.809174	20.256042
0.734003	21.057129	21.133423
0.786432	17.032623	14.781952
0.838861	21.457672	19.664764
0.891290	33.531189	32.215118
0.943718	33.721924	32.196045
0.996147	23.193359	21.686554
1.048576	22.792816	20.008087
1.101005	33.779144	31.261444
1.153434	28.972626	26.473999
1.205862	26.874542	23.384094
1.258291	23.345947	20.599365
1.310720	26.035309	24.261475
1.363149	23.326874	20.732880
1.415578	24.185181	21.190643
1.468006	23.307800	21.305084
1.520435	26.798248	24.967194
