3/3/2026	12:4 PM
Pseudo Cross Correlation
Scattering angle:	52.00
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.2
Laser intensity (mW):	84.000000
Average Count rate  A (kHz):	23.8
Average Count rate  B (kHz):	22.1
Intercept:	0.7168
Cumulant 1st	20.3750
Cumulant 2nd	14.5842	13.1933
Cumulant 3rd	13.0947	14.7794

Lag time (s)         g2-1
1.25E-08	0.631378
2.5E-08	0.684003
3.75E-08	0.757678
5E-08	0.705053
6.25E-08	0.852403
7.5E-08	0.715578
8.75E-08	0.726103
1E-07	0.715578
1.125E-07	0.831353
1.25E-07	0.705053
1.375E-07	0.662953
1.5E-07	0.620853
1.625E-07	0.873453
1.75E-07	0.799778
1.875E-07	0.557703
2E-07	0.726103
2.125E-07	0.684003
2.375E-07	0.694528
2.625E-07	0.61559
2.875E-07	0.768203
3.125E-07	0.69979
3.375E-07	0.862928
3.625E-07	0.620853
3.875E-07	0.726103
4.125E-07	0.839247
4.625E-07	0.710315
5.125E-07	0.728734
5.625E-07	0.660322
6.125E-07	0.67874
6.625E-07	0.67874
7.125E-07	0.710315
7.625E-07	0.752415
8.125E-07	0.745837
9.125E-07	0.710315
1.0125E-06	0.686634
1.1125E-06	0.689265
1.2125E-06	0.722156
1.3125E-06	0.773465
1.4125E-06	0.689265
1.5125E-06	0.665584
1.6125E-06	0.631378
1.8125E-06	0.715578
2.0125E-06	0.680714
2.2125E-06	0.730708
2.4125E-06	0.755047
2.6125E-06	0.746495
2.8125E-06	0.784648
3.0125E-06	0.716236
3.2125E-06	0.67414
3.6125E-06	0.681705
4.0125E-06	0.715259
4.4125E-06	0.703089
4.8125E-06	0.729073
5.2125E-06	0.712628
5.6125E-06	0.703747
6.0125E-06	0.711312
6.4125E-06	0.710983
7.2125E-06	0.697662
8.0125E-06	0.67135
8.8125E-06	0.708845
9.6125E-06	0.705556
1.04125E-05	0.700622
1.12125E-05	0.679243
1.20125E-05	0.700129
1.28125E-05	0.672747
1.44125E-05	0.670363
1.60125E-05	0.660084
1.76125E-05	0.686726
1.92125E-05	0.64405
2.08125E-05	0.666991
2.24125E-05	0.659514
2.40125E-05	0.657129
2.56125E-05	0.64722
2.88125E-05	0.644137
3.20125E-05	0.625389
3.52125E-05	0.630533
3.84125E-05	0.621611
4.16125E-05	0.616924
4.48125E-05	0.609442
4.80125E-05	0.584814
5.12125E-05	0.586952
5.76125E-05	0.582142
6.40125E-05	0.565182
7.04125E-05	0.549723
7.68125E-05	0.541912
8.32125E-05	0.525861
8.96125E-05	0.523004
9.60125E-05	0.514226
0.000102413	0.500857
0.000115213	0.485183
0.000128013	0.465582
0.000140813	0.452799
0.000153613	0.423654
0.000166413	0.418165
0.000179213	0.403209
0.000192013	0.3935
0.000204813	0.381909
0.000230413	0.359814
0.000256013	0.345216
0.000281613	0.323413
0.000307213	0.317178
0.000332813	0.302653
0.000358413	0.295555
0.000384013	0.279428
0.000409613	0.271116
0.000460813	0.254786
0.000512013	0.237086
0.000563213	0.225669
0.000614413	0.215256
0.000665613	0.204605
0.000716813	0.199294
0.000768013	0.195985
0.000819213	0.184987
0.000921613	0.172753
0.00102401	0.163592
0.00112641	0.149735
0.00122881	0.140029
0.00133121	0.134025
0.00143361	0.125447
0.00153601	0.11827
0.00163841	0.110058
0.00184321	0.0985514
0.00204801	0.0886809
0.00225281	0.0715375
0.00245761	0.0601545
0.00266241	0.0571205
0.00286721	0.0518714
0.00307201	0.0463957
0.00327681	0.0374533
0.00368641	0.0281592
0.00409601	0.019196
0.00450561	0.0142821
0.00491521	0.013931
0.00532481	0.0122807
0.00573441	0.0102305
0.00614401	0.0090346
0.00655361	0.00956908
0.00737281	0.00706383
0.00819201	0.00522482
0.00901121	0.00234748
0.00983041	-0.00138464
0.0106496	-0.00530612
0.0114688	-0.00485434
0.012288	-0.00128509
0.0131072	0.00302956
0.0147456	0.00985418
0.016384	0.00956864
0.0180224	0.00533294
0.0196608	0.00454647
0.0212992	0.00356557
0.0229376	0.00116013
0.024576	0.00319355
0.0262144	0.00117808
0.0294912	-0.00099854
0.032768	0.00331296
0.0360448	0.00707735
0.0393216	0.0044708
0.0425984	-0.000872153
0.0458752	0.00124586
0.049152	-0.00214493
0.0524288	0.00203383
0.0589824	0.00385518
0.065536	0.00918564
0.0720896	0.0018137
0.0786432	0.000806836
0.0851968	-0.0014796
0.0917504	0.00426448
0.098304	0.00523729
0.104858	0.00397868
0.117965	-0.00181755
0.131072	-0.00171946
0.144179	0.000262364
0.157286	0.00322045
0.170394	0.00533887
0.183501	-0.00278596
0.196608	-0.00131458
0.209715	-0.000637771
0.23593	-0.00266127
0.262144	-0.00423269
0.288358	-0.0032249
0.314573	-0.006062
0.340787	-0.0045564
0.367002	-0.00538903
0.393216	-0.00695708
0.41943	-0.00574797
0.471859	-0.00767446
0.524288	-0.00800329
0.576717	-0.00647651
0.629146	-0.00720131
0.681574	-0.00832158
0.734003	-0.00738342
0.786432	-0.00903223
0.838861	-0.0111594
0.943718	-0.0098529
1.04858	-0.010639
1.15343	-0.0131659
1.25829	-0.012819
1.36315	-0.0192058
1.46801	-0.0160132
1.57286	-0.0155729
1.67772	-0.0153666
1.88744	-0.0175772
2.09715	-0.0180223
2.30687	-0.018064
2.51658	-0.0198344
2.7263	-0.0227992
2.93601	-0.020889
3.14573	-0.021293
3.35544	-0.0211708
3.77487	-0.0195568
4.1943	-0.0156478
4.61373	-0.0142959
5.03316	-0.0191232
5.4526	-0.0134568
5.87203	-0.0114162
6.29146	-0.00723882
6.71089	-0.00341702
7.54975	-0.000300422
8.38861	0.00765401
9.22747	0.0046595
10.0663	0.0156537
10.9052	0.0147835
11.7441	0.0170615
12.5829	0.0206241

Count Rate History (KHz)  CR CHA / CR CHB
0.000000	31.871796	29.220581
0.052429	24.967194	21.533966
0.104858	30.822754	30.250549
0.157286	33.607483	30.612946
