3/3/2026	11:44 AM
Pseudo Cross Correlation
Scattering angle:	15.99
Duration (s):	15
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.999
Temperature (K):	293.1
Laser intensity (mW):	26.509379
Average Count rate  A (kHz):	233.5
Average Count rate  B (kHz):	214.3
Intercept:	1.5719
Cumulant 1st	1055.7039
Cumulant 2nd	672.5901	646.3399
Cumulant 3rd	543.1786	669.2069

Lag time (s)         g2-1
1.25E-08	1.57476
2.5E-08	1.56381
3.75E-08	1.56674
5E-08	1.60401
6.25E-08	1.57341
7.5E-08	1.58651
8.75E-08	1.57047
1E-07	1.54868
1.125E-07	1.56313
1.25E-07	1.58289
1.375E-07	1.60931
1.5E-07	1.5751
1.625E-07	1.59746
1.75E-07	1.58154
1.875E-07	1.57442
2E-07	1.55048
2.125E-07	1.58413
2.375E-07	1.59435
2.625E-07	1.56804
2.875E-07	1.55805
3.125E-07	1.58481
3.375E-07	1.61857
3.625E-07	1.56403
3.875E-07	1.60514
4.125E-07	1.58673
4.625E-07	1.58261
5.125E-07	1.58236
5.625E-07	1.58786
6.125E-07	1.59269
6.625E-07	1.59653
7.125E-07	1.58555
7.625E-07	1.57183
8.125E-07	1.58615
9.125E-07	1.58454
1.0125E-06	1.57792
1.1125E-06	1.58672
1.2125E-06	1.57885
1.3125E-06	1.59598
1.4125E-06	1.57445
1.5125E-06	1.572
1.6125E-06	1.58288
1.8125E-06	1.58543
2.0125E-06	1.58221
2.2125E-06	1.58575
2.4125E-06	1.58739
2.6125E-06	1.57775
2.8125E-06	1.58792
3.0125E-06	1.58784
3.2125E-06	1.58407
3.6125E-06	1.58062
4.0125E-06	1.58532
4.4125E-06	1.58105
4.8125E-06	1.58214
5.2125E-06	1.58205
5.6125E-06	1.59054
6.0125E-06	1.58402
6.4125E-06	1.58294
7.2125E-06	1.57867
8.0125E-06	1.58136
8.8125E-06	1.58
9.6125E-06	1.57941
1.04125E-05	1.58378
1.12125E-05	1.58241
1.20125E-05	1.58246
1.28125E-05	1.58117
1.44125E-05	1.58321
1.60125E-05	1.58132
1.76125E-05	1.5803
1.92125E-05	1.58007
2.08125E-05	1.58163
2.24125E-05	1.58134
2.40125E-05	1.58067
2.56125E-05	1.58063
2.88125E-05	1.58388
3.20125E-05	1.58155
3.52125E-05	1.5805
3.84125E-05	1.58101
4.16125E-05	1.58069
4.48125E-05	1.58014
4.80125E-05	1.58052
5.12125E-05	1.58134
5.76125E-05	1.58017
6.40125E-05	1.57997
7.04125E-05	1.57972
7.68125E-05	1.57938
8.32125E-05	1.57875
8.96125E-05	1.5787
9.60125E-05	1.5782
0.000102413	1.5779
0.000115213	1.57637
0.000128013	1.57604
0.000140813	1.57501
0.000153613	1.57438
0.000166413	1.57388
0.000179213	1.57343
0.000192013	1.57362
0.000204813	1.57205
0.000230413	1.57161
0.000256013	1.57067
0.000281613	1.56972
0.000307213	1.56775
0.000332813	1.56725
0.000358413	1.56608
0.000384013	1.56429
0.000409613	1.56383
0.000460813	1.56127
0.000512013	1.55925
0.000563213	1.55764
0.000614413	1.55494
0.000665613	1.55327
0.000716813	1.551
0.000768013	1.54977
0.000819213	1.54767
0.000921613	1.54436
0.00102401	1.54045
0.00112641	1.53736
0.00122881	1.53414
0.00133121	1.531
0.00143361	1.52832
0.00153601	1.52578
0.00163841	1.52323
0.00184321	1.51779
0.00204801	1.5129
0.00225281	1.5082
0.00245761	1.50371
0.00266241	1.49924
0.00286721	1.49552
0.00307201	1.49114
0.00327681	1.48736
0.00368641	1.48011
0.00409601	1.47381
0.00450561	1.46748
0.00491521	1.46134
0.00532481	1.45576
0.00573441	1.45073
0.00614401	1.44579
0.00655361	1.44081
0.00737281	1.43046
0.00819201	1.42026
0.00901121	1.41091
0.00983041	1.40104
0.0106496	1.39145
0.0114688	1.38213
0.012288	1.37301
0.0131072	1.36371
0.0147456	1.346
0.016384	1.32863
0.0180224	1.31123
0.0196608	1.29497
0.0212992	1.28011
0.0229376	1.26531
0.024576	1.25268
0.0262144	1.24111
0.0294912	1.21389
0.032768	1.18978
0.0360448	1.17144
0.0393216	1.14805
0.0425984	1.12461
