# R/Å F/kT U/kT C/R <exp(-u/kT)-1>
20.00 inf NaN NaN -1.0000e0
20.50 inf NaN NaN -1.0000e0
21.00 inf NaN NaN -1.0000e0
21.50 inf NaN NaN -1.0000e0
22.00 inf NaN NaN -1.0000e0
22.50 inf NaN NaN -1.0000e0
23.00 inf NaN NaN -1.0000e0
23.50 635.3811 6.2533e2 0.0000e0 -1.0000e0
24.00 305.7183 2.9638e2 1.3068e-1 -1.0000e0
24.50 81.0126 7.1023e1 0.0000e0 -1.0000e0
25.00 20.7775 1.0788e1 2.0534e-14 -1.0000e0
25.50 5.0565 -4.9327e0 4.1404e-5 -9.9363e-1
26.00 1.8371 -8.1399e0 6.8788e-2 -8.4073e-1
26.50 1.9366 -7.4472e0 1.4149e0 -8.5581e-1
27.00 1.2044 -6.5083e0 1.0043e0 -7.0013e-1
27.50 -0.2923 -8.3318e0 2.9303e0 3.3956e-1
28.00 -1.3500 -9.5495e0 3.6151e0 2.8575e0
28.50 -1.3241 -8.9846e0 4.3431e0 2.7588e0
29.00 -0.9608 -6.9227e0 2.8274e0 1.6138e0
29.50 -1.1249 -6.4028e0 2.4698e0 2.0799e0
30.00 -1.3621 -6.5859e0 3.4697e0 2.9044e0
30.50 -1.3549 -6.1841e0 3.0168e0 2.8763e0
31.00 -1.3202 -5.9316e0 3.3377e0 2.7443e0
31.50 -1.4083 -5.8887e0 3.9825e0 3.0889e0
32.00 -1.5751 -6.1641e0 4.6393e0 3.8314e0
32.50 -1.4621 -5.5588e0 3.8370e0 3.3151e0
33.00 -1.5414 -5.7668e0 5.2897e0 3.6713e0
33.50 -1.5386 -5.5927e0 5.6926e0 3.6580e0
34.00 -1.3314 -4.5969e0 3.4637e0 2.7862e0
34.50 -1.2853 -4.2312e0 2.9480e0 2.6156e0
35.00 -1.3062 -4.1752e0 3.4335e0 2.6920e0
35.50 -1.2319 -3.7496e0 2.4410e0 2.4277e0
36.00 -1.2188 -3.6848e0 2.9315e0 2.3831e0
36.50 -1.2545 -3.6776e0 3.2030e0 2.5062e0
37.00 -1.3169 -3.7475e0 3.5632e0 2.7320e0
37.50 -1.4554 -4.2849e0 5.8072e0 3.2864e0
38.00 -1.3813 -3.9531e0 5.1505e0 2.9801e0
38.50 -1.2506 -3.3575e0 3.4026e0 2.4924e0
39.00 -1.2096 -3.1783e0 3.2389e0 2.3520e0
39.50 -1.2179 -3.1935e0 3.5848e0 2.3800e0
40.00 -1.1873 -3.0739e0 3.6017e0 2.2782e0
40.50 -1.1294 -2.8653e0 3.4218e0 2.0937e0
41.00 -1.0708 -2.6405e0 2.9733e0 1.9176e0
41.50 -0.9939 -2.4092e0 2.6902e0 1.7017e0
42.00 -0.9379 -2.2473e0 2.6190e0 1.5546e0
42.50 -0.8996 -2.1597e0 2.7283e0 1.4586e0
43.00 -0.8374 -1.9778e0 2.4160e0 1.3105e0
43.50 -0.7751 -1.8221e0 2.2395e0 1.1708e0
44.00 -0.7289 -1.7649e0 2.5522e0 1.0728e0
44.50 -0.6768 -1.6002e0 2.2310e0 9.6748e-1
45.00 -0.6527 -1.5264e0 2.1472e0 9.2065e-1
45.50 -0.6280 -1.4955e0 2.3548e0 8.7383e-1
46.00 -0.5943 -1.4723e0 2.7705e0 8.1171e-1
46.50 -0.5437 -1.3562e0 2.6209e0 7.2233e-1
47.00 -0.4773 -1.1712e0 2.2216e0 6.1175e-1
47.50 -0.4237 -1.0224e0 1.8888e0 5.2765e-1
48.00 -0.3676 -8.5522e-1 1.4836e0 4.4427e-1
48.50 -0.3334 -7.5142e-1 1.2360e0 3.9564e-1
49.00 -0.3173 -7.4544e-1 1.3891e0 3.7344e-1
49.50 -0.2802 -6.6377e-1 1.2784e0 3.2341e-1
50.00 -0.2324 -5.3967e-1 1.0049e0 2.6162e-1
50.50 -0.1891 -4.2583e-1 7.5485e-1 2.0812e-1
51.00 -0.1619 -3.6695e-1 6.6921e-1 1.7570e-1
51.50 -0.1413 -3.2302e-1 6.0406e-1 1.5182e-1
52.00 -0.1272 -2.9975e-1 6.2530e-1 1.3566e-1
52.50 -0.1134 -2.6551e-1 5.5221e-1 1.2012e-1
53.00 -0.0911 -2.0407e-1 3.8754e-1 9.5334e-2
53.50 -0.0657 -1.3751e-1 2.2574e-1 6.7919e-2
54.00 -0.0463 -9.1863e-2 1.3315e-1 4.7437e-2
54.50 -0.0316 -6.1360e-2 8.2145e-2 3.2100e-2
55.00 -0.0197 -3.8095e-2 4.8225e-2 1.9857e-2
55.50 -0.0114 -2.2583e-2 2.7857e-2 1.1481e-2
56.00 -0.0058 -1.3052e-2 1.7807e-2 5.8399e-3
56.50 -0.0016 -6.3070e-3 1.1501e-2 1.5978e-3
57.00 0.0017 -1.2362e-3 7.1176e-3 -1.7013e-3
57.50 0.0042 2.4082e-3 4.2140e-3 -4.1985e-3
58.00 0.0060 4.9413e-3 2.4698e-3 -6.0216e-3
58.50 0.0073 6.5911e-3 1.4643e-3 -7.2404e-3
59.00 0.0080 7.5753e-3 9.1020e-4 -7.9759e-3
59.50 0.0084 8.1072e-3 6.0022e-4 -8.3635e-3
